"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Ja'Marr Chase","1","WR",1,5,1.38,0.84
2,"Bijan Robinson","1","RB",1,5,2.17,0.86
3,"Jahmyr Gibbs","1","RB",1,12,4.26,2.24
4,"Saquon Barkley","1","RB",1,13,4.82,2.41
5,"CeeDee Lamb","1","WR",2,8,4.87,1.33
6,"Justin Jefferson","1","WR",2,11,5.25,1.42
7,"Malik Nabers","2","WR",6,19,9.21,2.95
8,"Nico Collins","2","WR",5,22,10.21,3.38
9,"Christian McCaffrey","2","RB",3,42,10.86,5.5
10,"Amon-Ra St. Brown","2","WR",6,20,11.03,3.08
11,"Derrick Henry","2","RB",5,33,11.7,3.55
12,"Puka Nacua","2","WR",6,21,12.17,3.67
13,"Ashton Jeanty","2","RB",5,31,12.52,4.38
14,"Brian Thomas Jr.","2","WR",7,25,12.6,3.21
15,"Drake London","2","WR",6,26,14.85,4.69
16,"De'Von Achane","3","RB",10,33,17.79,5.02
17,"A.J. Brown","3","WR",9,31,18.62,3.17
18,"Brock Bowers","3","TE",10,39,18.99,5.29
19,"Jonathan Taylor","3","RB",11,47,19.81,6.43
20,"Josh Jacobs","3","RB",11,52,21.05,5.91
21,"Bucky Irving","3","RB",10,42,21.91,6.22
22,"Chase Brown","3","RB",12,40,22.19,6.09
23,"Ladd McConkey","3","WR",13,39,23.85,4.58
24,"Trey McBride","3","TE",16,38,24.28,5.12
25,"Josh Allen","4","QB",17,37,26.86,3.3
26,"Kyren Williams","4","RB",15,51,27.31,7.02
27,"Lamar Jackson","4","QB",20,39,27.68,3.49
28,"Tee Higgins","4","WR",19,48,29.3,6.29
29,"Jaxon Smith-Njigba","4","WR",14,52,29.34,7.36
30,"George Kittle","5","TE",16,54,32.13,6.92
31,"Tyreek Hill","5","WR",20,62,34.4,7.88
32,"Mike Evans","5","WR",21,52,34.5,6.19
33,"Jayden Daniels","5","QB",23,58,34.6,8.34
34,"Garrett Wilson","5","WR",19,53,35.17,7.45
35,"James Cook","5","RB",20,64,35.46,6.94
36,"Davante Adams","5","WR",24,52,37.13,5.93
37,"Omarion Hampton","5","RB",23,95,37.34,10.89
38,"Jalen Hurts","5","QB",25,62,37.83,8.16
39,"Kenneth Walker III","6","RB",20,57,40.12,7.73
40,"Marvin Harrison Jr.","6","WR",22,64,40.61,7.26
41,"Terry McLaurin","6","WR",25,81,41.79,10.17
42,"Alvin Kamara","6","RB",21,60,42.92,8.15
43,"Breece Hall","7","RB",17,66,45.03,9.61
44,"DJ Moore","7","WR",27,78,47.01,9.3
45,"Courtland Sutton","7","WR",31,68,47.41,7.51
46,"Joe Burrow","7","QB",22,71,47.67,9.79
47,"DK Metcalf","7","WR",31,93,47.69,10
48,"TreVeyon Henderson","7","RB",24,72,48.48,9.85
49,"Chuba Hubbard","7","RB",30,66,48.79,7.09
50,"James Conner","7","RB",35,67,49.82,6.57
51,"Tetairoa McMillan","8","WR",31,91,51.88,13.6
52,"DeVonta Smith","8","WR",38,87,52.54,9.21
53,"Jameson Williams","8","WR",37,89,55.63,11.05
54,"Xavier Worthy","8","WR",33,91,55.89,12.31
55,"Calvin Ridley","8","WR",32,87,57.05,11.1
56,"George Pickens","9","WR",33,87,58.63,12.82
57,"Tony Pollard","9","RB",43,93,59.39,7.73
58,"Zay Flowers","9","WR",43,101,60.27,12.09
59,"D'Andre Swift","9","RB",37,92,60.28,10.18
60,"Jaylen Waddle","9","WR",38,101,61.21,12.89
61,"RJ Harvey","9","RB",33,106,61.25,12.05
62,"David Montgomery","9","RB",49,85,61.71,6.75
63,"Isiah Pacheco","9","RB",38,114,63.48,10.37
64,"Sam LaPorta","9","TE",47,96,64.63,10.44
65,"Aaron Jones Sr.","10","RB",52,88,67.21,6.81
66,"Patrick Mahomes II","10","QB",40,97,67.46,11.84
67,"Travis Hunter","10","WR",39,111,70.85,14.25
68,"T.J. Hockenson","11","TE",53,105,71.97,12.05
69,"Chris Olave","11","WR",46,120,73.74,11.24
70,"Baker Mayfield","11","QB",47,118,73.93,15.57
71,"Rome Odunze","11","WR",46,115,75.95,13.14
72,"Rashee Rice","11","WR",32,136,76.65,23.01
73,"Tyrone Tracy Jr.","11","RB",57,119,77.34,10.63
74,"Bo Nix","11","QB",53,119,77.39,14.33
75,"Jerry Jeudy","11","WR",54,115,78.2,12.44
76,"Ricky Pearsall","11","WR",41,136,79.02,17.86
77,"Emeka Egbuka","12","WR",31,139,80.56,21.64
78,"Kaleb Johnson","12","RB",56,154,81.53,19.38
79,"Jaylen Warren","12","RB",56,134,82.3,13.59
80,"Travis Kelce","12","TE",56,117,82.59,11.17
81,"Mark Andrews","12","TE",55,126,84.05,12.36
82,"Kyler Murray","12","QB",54,120,84.84,16.24
83,"Stefon Diggs","12","WR",50,132,85.75,14.88
84,"Dak Prescott","13","QB",58,141,88.17,18.19
85,"Jakobi Meyers","13","WR",59,127,90.21,14.5
86,"David Njoku","13","TE",56,121,90.29,12.5
87,"Jordan Mason","13","RB",66,152,90.89,18.12
88,"Travis Etienne Jr.","13","RB",57,137,91.73,16.45
89,"Deebo Samuel Sr.","13","WR",53,135,92.67,15.42
90,"Evan Engram","13","TE",58,143,93.41,15.47
91,"Jordan Addison","13","WR",59,135,93.93,15.85
92,"Zach Charbonnet","13","RB",67,145,94.51,15.08
93,"Brock Purdy","13","QB",62,142,95.07,16.51
94,"Justin Fields","14","QB",68,178,97.35,19.61
95,"Jauan Jennings","14","WR",68,162,98.71,16.3
96,"Matthew Golden","14","WR",61,177,99.52,24.57
97,"Tucker Kraft","14","TE",73,224,100.17,15.52
98,"Javonte Williams","14","RB",66,159,100.21,17.55
99,"Justin Herbert","14","QB",62,139,101.88,15.51
100,"Tyler Warren","14","TE",76,157,102.21,14.82
101,"Drake Maye","14","QB",69,161,103.5,15.88
102,"Caleb Williams","14","QB",62,147,103.95,16.54
103,"Khalil Shakir","14","WR",76,132,104.1,13.24
104,"J.K. Dobbins","14","RB",71,265,105.14,27.22
105,"Jayden Reed","15","WR",75,164,106.82,16.09
106,"Jacory Croskey-Merritt","15","RB",64,451,107.35,47.21
107,"Josh Downs","15","WR",72,139,108.21,13.89
108,"Jared Goff","15","QB",62,159,108.51,18.48
109,"Michael Pittman Jr.","15","WR",72,165,111.27,16.99
110,"Tank Bigsby","15","RB",66,239,111.74,21.72
111,"Rhamondre Stevenson","16","RB",79,163,112.89,17.8
112,"Chris Godwin Jr.","16","WR",61,179,113.21,23.14
113,"Cooper Kupp","16","WR",73,164,113.58,15.18
114,"Jordan Love","16","QB",90,158,115.38,14.18
115,"Austin Ekeler","16","RB",78,186,117.42,22.04
116,"Trevor Lawrence","16","QB",90,161,118.24,13.1
117,"Cam Skattebo","17","RB",79,221,120.38,23.68
118,"Jake Ferguson","17","TE",84,195,120.68,20.01
119,"C.J. Stroud","17","QB",73,180,122.93,16.46
120,"J.J. McCarthy","17","QB",78,178,124.04,18.15
121,"Keon Coleman","17","WR",76,175,125.88,20.3
122,"Dalton Kincaid","17","TE",94,208,126.32,21.07
123,"Darnell Mooney","17","WR",91,173,126.75,17.28
124,"Braelon Allen","17","RB",85,233,128.38,24.48
125,"Dallas Goedert","17","TE",96,180,129.21,18.54
126,"Colston Loveland","18","TE",85,225,132.26,25.23
127,"Rashid Shaheed","18","WR",83,198,132.46,18
128,"Rachaad White","18","RB",88,218,131.32,22.4
129,"Joe Mixon","18","RB",49,303,136.77,53.45
130,"Trey Benson","18","RB",82,245,134.84,22.72
131,"Brandon Aiyuk","18","WR",93,216,138.78,21.26
132,"Brian Robinson Jr.","18","RB",72,295,138.81,36.92
133,"Najee Harris","18","RB",67,224,131.63,28.47
134,"Christian Kirk","18","WR",97,220,136.5,19.28
135,"Ray Davis","18","RB",98,242,136.76,17.08
136,"Quinshon Judkins","18","RB",61,310,134.05,40.77
137,"Nick Chubb","19","RB",77,309,143.9,40.04
138,"Tyjae Spears","19","RB",92,273,140.77,28.28
139,"Kyle Pitts Sr.","19","TE",105,246,141.3,24.11
140,"Jaydon Blue","19","RB",77,310,144.98,27.07
141,"Rashod Bateman","19","WR",104,194,145.11,18.4
142,"Tua Tagovailoa","19","QB",107,241,143.42,22.43
143,"Tyler Allgeier","19","RB",113,225,146.48,15.9
144,"Bhayshul Tuten","19","RB",79,327,151.01,40.6
145,"Marvin Mims Jr.","19","WR",97,246,148.36,24.34
146,"Cedric Tillman","19","WR",106,255,152.51,19.66
147,"Luther Burden III","19","WR",104,240,149.3,23.04
148,"Bryce Young","19","QB",108,257,149.58,26.17
149,"Hunter Henry","19","TE",93,225,146.16,21.26
150,"Dylan Sampson","19","RB",87,241,150.35,30.31
151,"Jerome Ford","19","RB",82,236,147.65,27.15
152,"Michael Penix Jr.","19","QB",78,331,153.06,26.94
153,"Zach Ertz","20","TE",96,252,160.88,26.91
154,"Jayden Higgins","19","WR",89,272,154.94,32.35
155,"Geno Smith","21","QB",105,300,164.71,31.68
156,"Matthew Stafford","21","QB",107,254,162.76,33.37
157,"Jonnu Smith","21","TE",96,253,162.64,31.99
158,"Romeo Doubs","21","WR",120,263,164.41,20.17
159,"Keenan Allen","19","WR",89,327,155.09,45.24
160,"Wan'Dale Robinson","21","WR",93,265,168.88,29.61
161,"Marquise Brown","21","WR",127,226,166.49,19.01
162,"Rico Dowdle","21","RB",88,271,163.34,27.49
163,"DeMario Douglas","21","WR",101,238,171.03,28.37
164,"Adam Thielen","21","WR",136,258,172.75,19.55
165,"Kyle Williams","21","WR",120,305,176.43,32.7
166,"Brenton Strange","21","TE",105,305,174.73,36.98
167,"Joshua Palmer","21","WR",114,265,176.38,30.5
168,"Cam Ward","22","QB",111,334,187.39,40.55
169,"Tre' Harris","21","WR",115,266,175.61,28.76
170,"Xavier Legette","22","WR",115,266,183.79,26.03
171,"Ollie Gordon II","22","RB",101,339,186.47,50.91
172,"Sam Darnold","22","QB",117,275,190.08,37.13
173,"Isaac Guerendo","22","RB",129,302,184.48,42.67
174,"Roschon Johnson","22","RB",140,287,187.03,36.08
175,"Jaylen Wright","22","RB",121,297,190.44,38.86
176,"Chig Okonkwo","22","TE",123,300,191.49,37.9
177,"Quentin Johnston","22","WR",139,269,186.1,25.78
178,"Isaiah Likely","22","TE",134,280,193.52,28.94
179,"Woody Marks","23","RB",124,326,206.22,52.23
180,"Denver Broncos","19","DST",142,289,156.95,19.15
181,"Jalen Coker","22","WR",120,268,189.43,26.77
182,"Blake Corum","22","RB",134,312,190.01,34.8
183,"Cade Otton","23","TE",110,269,204.23,31.55
184,"Philadelphia Eagles","21","DST",150,290,167.59,17.97
185,"Mike Gesicki","23","TE",111,306,202.17,30.61
186,"Pittsburgh Steelers","21","DST",147,288,171.93,16.93
187,"Baltimore Ravens","21","DST",150,291,174.2,17.06
188,"Pat Freiermuth","23","TE",143,319,209.86,30.85
189,"Minnesota Vikings","21","DST",158,296,177.59,17.04
190,"DeAndre Hopkins","23","WR",139,295,200.48,26.48
