"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Ja'Marr Chase","1","WR",1,4,1.1,0.47
2,"CeeDee Lamb","1","WR",1,8,3.58,0.99
3,"Justin Jefferson","1","WR",2,9,4.04,1.42
4,"Bijan Robinson","1","RB",2,10,2.72,1.55
5,"Malik Nabers","2","WR",3,15,7.61,2.23
6,"Amon-Ra St. Brown","2","WR",6,15,8.69,2.52
7,"Jahmyr Gibbs","1","RB",2,24,5.64,2.95
8,"Nico Collins","2","WR",4,19,9.99,2.46
9,"Puka Nacua","2","WR",4,18,10.51,2.88
10,"Saquon Barkley","2","RB",3,34,7.74,3.74
11,"Christian McCaffrey","2","RB",2,43,11.78,6.24
12,"Brian Thomas Jr.","2","WR",6,19,11.85,2.26
13,"Drake London","2","WR",4,22,12.28,3.8
14,"A.J. Brown","3","WR",9,35,16.82,3.35
15,"Brock Bowers","3","TE",12,32,17.8,3.78
16,"Ladd McConkey","3","WR",11,29,18.3,4.13
17,"Ashton Jeanty","3","RB",7,41,15.36,6.4
18,"De'Von Achane","3","RB",9,43,17.13,5.59
19,"Trey McBride","3","TE",16,32,21.42,3.05
20,"Jaxon Smith-Njigba","3","WR",9,48,21.71,7.41
21,"Tee Higgins","4","WR",15,45,24.27,6.75
22,"Derrick Henry","4","RB",5,46,22.14,6.8
23,"Josh Allen","4","QB",18,37,26.2,2.38
24,"Lamar Jackson","4","QB",22,37,26.9,2.6
25,"Garrett Wilson","4","WR",14,47,26.99,8.62
26,"Chase Brown","4","RB",13,46,23.93,6.91
27,"Tyreek Hill","4","WR",14,60,29.44,8.31
28,"Bucky Irving","4","RB",10,47,26.59,7.68
29,"Josh Jacobs","4","RB",10,65,28.6,7.77
30,"George Kittle","5","TE",16,85,32.93,7.64
31,"Davante Adams","5","WR",19,50,33.07,6.56
32,"Mike Evans","5","WR",18,60,33.27,7.33
33,"Jonathan Taylor","5","RB",18,56,30.2,6.64
34,"Jayden Daniels","5","QB",25,59,34.44,8.42
35,"Marvin Harrison Jr.","6","WR",18,62,37.78,8.2
36,"Kyren Williams","5","RB",21,61,35.08,6.94
37,"Jalen Hurts","6","QB",27,63,38.62,8.64
38,"Terry McLaurin","6","WR",20,75,39.03,10.46
39,"DJ Moore","7","WR",19,71,42.06,9.58
40,"Alvin Kamara","7","RB",21,58,41.85,7.22
41,"Courtland Sutton","7","WR",26,69,45.6,7.94
42,"DK Metcalf","7","WR",28,96,46.51,10.75
43,"James Cook","7","RB",24,72,43.65,7.12
44,"Kenneth Walker III","7","RB",23,65,43.86,7.25
45,"Tetairoa McMillan","7","WR",26,115,47.97,15.32
46,"Omarion Hampton","7","RB",26,152,44.84,14.33
47,"Joe Burrow","7","QB",30,80,48.16,9.35
48,"DeVonta Smith","7","WR",31,76,48.23,8.16
49,"Breece Hall","7","RB",21,72,46.3,9.1
50,"Jaylen Waddle","8","WR",28,90,54.94,13.01
51,"Xavier Worthy","8","WR",35,90,54.97,13.21
