"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Denver Broncos","vs. TEN",1,7,1.22,0.87,"1"
2,"Pittsburgh Steelers","at NYJ",1,8,2.64,1.2,"1"
3,"Arizona Cardinals","at NO",1,18,3.43,1.99,"2"
4,"Philadelphia Eagles","vs. DAL",2,16,4.43,1.94,"2"
5,"Minnesota Vikings","at CHI",3,12,5.28,1.78,"2"
6,"Washington Commanders","vs. NYG",2,27,6.78,3.45,"3"
7,"San Francisco 49ers","at SEA",3,23,8.23,2.71,"3"
8,"Los Angeles Rams","vs. HOU",4,17,8.72,2.27,"3"
9,"New York Jets","vs. PIT",4,23,10.11,3.86,"4"
10,"Houston Texans","at LAR",4,24,10.57,3.53,"4"
11,"Cincinnati Bengals","at CLE",2,30,11.6,4.9,"4"
12,"New England Patriots","vs. LV",5,28,12.16,3.54,"4"
13,"Kansas City Chiefs","at LAC",8,21,13.14,2.39,"5"
14,"Chicago Bears","vs. MIN",8,25,13.87,2.79,"5"
15,"Seattle Seahawks","vs. SF",7,23,15.31,2.56,"5"
16,"Tampa Bay Buccaneers","at ATL",9,25,17.41,2.59,"6"
17,"Detroit Lions","at GB",9,29,17.57,4.08,"6"
18,"Miami Dolphins","at IND",9,32,17.9,3.17,"6"
19,"Green Bay Packers","vs. DET",5,29,18.47,3.32,"6"
20,"Indianapolis Colts","vs. MIA",12,28,19.84,2.37,"6"
