"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
20,"James Conner","at NO",7,36,19.4,6.33,"1"
21,"Kyren Williams","vs. HOU",10,40,21.43,4.22,"1"
22,"Amon-Ra St. Brown","at GB",8,33,21.6,4.67,"1"
23,"A.J. Brown","vs. DAL",11,35,22.42,3.87,"1"
24,"Alvin Kamara","vs. ARI",8,39,23.76,5.09,"1"
25,"Mike Evans","at ATL",11,45,23.79,5.23,"1"
26,"Kenneth Walker III","vs. SF",9,56,27.17,6.93,"2"
27,"Chuba Hubbard","at JAC",10,41,27.51,5.34,"2"
28,"Ladd McConkey","vs. KC",21,44,28.99,4.29,"2"
29,"Tee Higgins","at CLE",19,50,29.29,4.73,"2"
30,"James Cook","vs. BAL",17,52,31.83,5.33,"3"
31,"Jaxon Smith-Njigba","vs. SF",18,58,32.36,5.66,"3"
32,"Tyreek Hill","at IND",21,62,33.94,7.51,"3"
33,"Xavier Worthy","at LAC",20,83,36.99,9.91,"4"
34,"Omarion Hampton","vs. KC",18,75,37.24,8.6,"4"
35,"Davante Adams","vs. HOU",19,59,37.54,5.92,"4"
36,"Brock Bowers","at NE",19,69,37.61,6.97,"4"
37,"Tony Pollard","at DEN",24,71,38.68,7.81,"4"
38,"Trey McBride","at NO",24,66,41.61,7.17,"5"
39,"Terry McLaurin","vs. NYG",23,62,42.03,7.07,"5"
40,"Marvin Harrison Jr.","at NO",22,64,42.35,6.59,"5"
41,"Courtland Sutton","vs. TEN",26,60,42.99,6.87,"5"
42,"TreVeyon Henderson","vs. LV",16,87,43.78,9.89,"5"
43,"Tetairoa McMillan","at JAC",26,72,44.1,8.45,"5"
44,"Breece Hall","vs. PIT",9,77,44.87,10.71,"5"
45,"Isiah Pacheco","at LAC",24,78,46.06,9.12,"6"
46,"George Kittle","at SEA",34,85,46.79,7.86,"6"
47,"Aaron Jones Sr.","at CHI",27,88,46.88,10.06,"6"
48,"D'Andre Swift","vs. MIN",21,77,48.37,9,"7"
49,"DJ Moore","vs. MIN",26,71,49.25,7.41,"7"
50,"DeVonta Smith","vs. DAL",31,64,50.08,5.84,"7"
51,"Jerry Jeudy","vs. CIN",25,76,50.46,8.4,"7"
52,"Garrett Wilson","vs. PIT",23,73,50.56,9.33,"7"
53,"Zay Flowers","at BUF",31,79,54.51,6.71,"8"
54,"Tyrone Tracy Jr.","at WAS",32,88,55.15,12.25,"8"
55,"Emeka Egbuka","at ATL",37,89,55.64,8.38,"8"
56,"David Montgomery","at GB",28,80,55.74,11.76,"8"
57,"Jaylen Waddle","at IND",31,83,55.83,7.21,"8"
58,"Jameson Williams","at GB",31,82,56.47,6.79,"8"
59,"DK Metcalf","at NYJ",31,76,58.71,6.54,"9"
60,"George Pickens","at PHI",39,84,59.47,6.94,"9"
61,"Jaylen Warren","at NYJ",35,96,61.88,12.59,"9"
62,"Calvin Ridley","at DEN",45,90,64.72,6.9,"10"
63,"Travis Hunter","vs. CAR",43,106,64.81,8.66,"10"
64,"Chris Olave","vs. ARI",53,83,66.38,5.41,"10"
65,"Ricky Pearsall","at SEA",33,94,66.63,10.07,"10"
66,"RJ Harvey","vs. TEN",32,103,67.08,14.43,"10"
67,"Deebo Samuel Sr.","vs. NYG",49,107,67.45,6.87,"10"
68,"Stefon Diggs","vs. LV",43,101,70.62,7.57,"11"
69,"Rome Odunze","vs. MIN",43,93,71.32,6.67,"11"
70,"Jakobi Meyers","at NE",53,89,71.37,6.55,"11"
71,"Travis Etienne Jr.","vs. CAR",38,97,71.46,11.22,"11"
72,"Travis Kelce","at LAC",50,104,73.13,11.7,"11"
73,"J.K. Dobbins","vs. TEN",37,188,73.33,20.95,"11"
74,"Austin Ekeler","vs. NYG",35,126,75.02,13.97,"12"
75,"Matthew Golden","vs. DET",53,118,75.33,9.2,"12"
76,"David Njoku","vs. CIN",41,105,76.73,12.65,"12"
77,"Sam LaPorta","at GB",56,105,78.62,10.85,"13"
78,"Jerome Ford","vs. CIN",37,163,79.1,17.08,"13"
79,"Jauan Jennings","at SEA",53,108,79.64,8.59,"13"
80,"Khalil Shakir","vs. BAL",59,98,80.01,7.35,"13"
81,"Michael Pittman Jr.","vs. MIA",53,109,80.19,7.6,"13"
82,"Javonte Williams","at PHI",44,123,80.92,11.5,"13"
83,"Josh Downs","vs. MIA",58,108,81.31,8.53,"13"
84,"Mark Andrews","at BUF",42,105,82.51,11.09,"13"
85,"T.J. Hockenson","at CHI",36,105,83.02,10.82,"13"
86,"Cooper Kupp","vs. SF",66,118,87.01,8.29,"14"
87,"Nick Chubb","at LAR",47,160,87.28,18.51,"14"
88,"Tank Bigsby","vs. CAR",47,163,87.67,14.03,"14"
89,"Jordan Mason","at CHI",37,134,87.97,13.56,"14"
90,"Rashid Shaheed","vs. ARI",76,116,91.34,6.99,"15"
91,"Rhamondre Stevenson","vs. LV",70,126,92.44,8.81,"15"
92,"Keon Coleman","vs. BAL",68,136,93.26,11.06,"15"
93,"Cedric Tillman","vs. CIN",59,122,93.7,8.86,"15"
94,"Marvin Mims Jr.","vs. TEN",74,131,96.06,10.16,"15"
95,"Jacory Croskey-Merritt","vs. NYG",48,200,97.44,22.39,"15"
