"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
20,"Mike Evans","at ATL",7,42,19.94,6.1,"1"
21,"Ashton Jeanty","at NE",8,38,20.37,5.15,"1"
22,"Josh Jacobs","vs. DET",8,43,22.7,5.02,"1"
23,"Ladd McConkey","vs. KC",13,39,24.22,4.77,"1"
24,"Alvin Kamara","vs. ARI",9,43,25.63,5.66,"1"
25,"James Conner","at NO",8,50,25.93,8.89,"1"
26,"Tee Higgins","at CLE",13,44,26.2,5.36,"1"
27,"Jaxon Smith-Njigba","vs. SF",11,47,26.32,4.93,"1"
28,"Brock Bowers","at NE",26,60,29.47,5.96,"2"
29,"Tyreek Hill","at IND",19,61,30.45,6.75,"2"
30,"Trey McBride","at NO",26,57,30.55,5.14,"2"
31,"Kyren Williams","vs. HOU",17,49,31.37,6.57,"2"
32,"Davante Adams","vs. HOU",13,54,33.24,5.07,"2"
33,"Xavier Worthy","at LAC",14,83,34.72,9.75,"3"
34,"Kenneth Walker III","vs. SF",16,63,35.29,7.73,"3"
35,"Chuba Hubbard","at JAC",17,55,37.28,6.63,"4"
36,"Terry McLaurin","vs. NYG",19,59,37.34,6.4,"4"
37,"Marvin Harrison Jr.","at NO",21,66,38.06,6.41,"4"
38,"Tetairoa McMillan","at JAC",21,66,38.35,8.08,"4"
39,"Courtland Sutton","vs. TEN",24,58,39.18,6.53,"4"
40,"George Kittle","at SEA",26,81,40.53,7.34,"5"
41,"Garrett Wilson","vs. PIT",19,66,41.59,9.38,"5"
42,"DJ Moore","vs. MIN",25,65,41.8,7.31,"5"
43,"Jerry Jeudy","vs. CIN",19,67,43.38,8.33,"5"
44,"DeVonta Smith","vs. DAL",31,64,43.41,5.74,"5"
45,"James Cook","vs. BAL",23,71,45.6,7.23,"6"
46,"Omarion Hampton","vs. KC",24,80,48.32,8.52,"6"
47,"Tony Pollard","at DEN",26,80,48.35,8.81,"6"
48,"Jaylen Waddle","at IND",29,83,48.49,7.51,"6"
49,"Zay Flowers","at BUF",29,70,49.99,7.36,"6"
50,"Emeka Egbuka","at ATL",32,91,50.7,10.68,"6"
51,"Breece Hall","vs. PIT",16,80,54.18,11.05,"7"
52,"TreVeyon Henderson","vs. LV",21,100,54.71,10.72,"7"
53,"Aaron Jones Sr.","at CHI",33,88,55,10.41,"7"
54,"DK Metcalf","at NYJ",31,74,55.08,7.57,"7"
55,"Isiah Pacheco","at LAC",33,84,56.72,10.05,"7"
56,"George Pickens","at PHI",34,83,57.64,7.95,"7"
57,"Jameson Williams","at GB",36,88,57.78,6.83,"7"
58,"D'Andre Swift","vs. MIN",34,79,58.83,9.77,"7"
59,"Chris Olave","vs. ARI",41,75,61.84,6.13,"8"
60,"Travis Hunter","vs. CAR",39,102,62.29,8.94,"8"
61,"Travis Kelce","at LAC",30,98,63.85,11.6,"8"
62,"Stefon Diggs","vs. LV",36,90,64.3,6.78,"8"
63,"Calvin Ridley","at DEN",40,90,64.53,7.24,"8"
64,"Jakobi Meyers","at NE",46,86,65.74,5.83,"9"
65,"Ricky Pearsall","at SEA",31,91,65.8,11.01,"9"
66,"Tyrone Tracy Jr.","at WAS",45,92,66.53,11.74,"9"
67,"Deebo Samuel Sr.","vs. NYG",44,103,67.74,7.44,"9"
68,"David Njoku","vs. CIN",30,99,67.86,13.03,"9"
69,"Jaylen Warren","at NYJ",35,105,68.34,12.57,"9"
70,"David Montgomery","at GB",42,93,68.36,11.22,"9"
71,"Rome Odunze","vs. MIN",48,89,68.89,6.05,"9"
72,"Michael Pittman Jr.","vs. MIA",41,103,71.42,7.46,"10"
73,"Khalil Shakir","vs. BAL",61,95,73.32,7.68,"10"
74,"Sam LaPorta","at GB",57,99,73.95,11.1,"10"
75,"Matthew Golden","vs. DET",47,118,74.09,9.63,"10"
76,"Josh Downs","vs. MIA",46,104,74.84,9.15,"10"
77,"T.J. Hockenson","at CHI",27,98,74.95,11.06,"10"
78,"RJ Harvey","vs. TEN",43,124,76.8,13.58,"10"
79,"Travis Etienne Jr.","vs. CAR",38,114,77.57,9.89,"10"
80,"Jauan Jennings","at SEA",48,103,77.64,9.09,"10"
81,"Mark Andrews","at BUF",42,113,79.89,9.98,"11"
82,"Austin Ekeler","vs. NYG",35,140,80.32,13.81,"11"
83,"Cooper Kupp","vs. SF",64,104,82.56,7.98,"11"
84,"J.K. Dobbins","vs. TEN",45,198,83.14,21.02,"11"
85,"Jerome Ford","vs. CIN",49,175,85.81,16.22,"12"
86,"Javonte Williams","at PHI",53,115,86.63,9.32,"12"
87,"Cedric Tillman","vs. CIN",48,124,88.76,9.02,"12"
88,"Evan Engram","vs. TEN",57,120,90.33,11.21,"12"
89,"Rashid Shaheed","vs. ARI",74,118,92.08,5.83,"12"
90,"Keon Coleman","vs. BAL",70,136,95.24,9.78,"13"
91,"Marvin Mims Jr.","vs. TEN",73,136,95.32,9.36,"13"
92,"Tucker Kraft","vs. DET",76,116,96.15,8.82,"13"
93,"Tyler Warren","vs. MIA",60,116,96.64,8.06,"13"
94,"Romeo Doubs","vs. DET",68,137,98.34,9.77,"13"
95,"Jake Ferguson","at PHI",78,117,99.23,4.73,"13"
