"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Wil Lutz","vs. TEN",1,17,2.88,2.95,"1"
2,"Chase McLaughlin","at ATL",1,13,4.04,2.74,"1"
3,"Brandon Aubrey","at PHI",1,29,4.68,5.59,"1"
4,"Evan McPherson","at CLE",1,20,5.18,3.19,"1"
5,"Cameron Dicker","vs. KC",2,21,5.45,3.58,"1"
6,"Harrison Butker","at LAC",2,13,7.15,2.32,"2"
7,"Jake Elliott","vs. DAL",1,21,7.9,3.55,"2"
8,"Ka'imi Fairbairn","at LAR",2,28,8.63,5.03,"3"
9,"Matt Gay","vs. NYG",3,17,8.86,2.67,"3"
10,"Jake Bates","at GB",1,21,9.82,3.37,"3"
11,"Cam Little","vs. CAR",2,21,10.03,3.73,"3"
12,"Tyler Loop","at BUF",3,25,12.59,3.18,"4"
13,"Chad Ryland","at NO",4,28,12.95,3.83,"4"
14,"Younghoe Koo","vs. TB",7,28,14.22,3.18,"4"
15,"Brandon McManus","vs. DET",5,23,15.84,3.11,"4"
16,"Will Reichard","at CHI",5,30,16.18,4.33,"4"
17,"Chris Boswell","at NYJ",1,27,16.86,4.39,"4"
18,"Joshua Karty","vs. HOU",5,24,16.95,3.05,"4"
19,"Jake Moody","at SEA",13,32,20.01,2.76,"5"
20,"Jason Myers","vs. SF",9,28,20.7,2.96,"5"
