"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Lamar Jackson","at BUF",1,5,1.68,0.88,"1"
2,"Josh Allen","vs. BAL",1,6,2.66,1.22,"1"
3,"Jalen Hurts","vs. DAL",1,7,2.74,1.26,"1"
4,"Jayden Daniels","vs. NYG",1,7,3.61,1.08,"1"
5,"Joe Burrow","at CLE",1,7,4.59,1.13,"1"
6,"Baker Mayfield","at ATL",4,14,6.78,1.72,"2"
7,"Bo Nix","vs. TEN",6,14,8.03,1.83,"2"
8,"Patrick Mahomes II","at LAC",5,17,8.06,2,"2"
9,"Kyler Murray","at NO",5,16,9.32,1.92,"3"
10,"Trevor Lawrence","vs. CAR",5,20,10.66,2.57,"4"
11,"Drake Maye","vs. LV",7,18,11.36,2.02,"4"
12,"Brock Purdy","at SEA",7,20,12.04,2.2,"4"
13,"Jordan Love","vs. DET",8,22,14.59,2.82,"5"
14,"Justin Herbert","vs. KC",8,23,15.23,2.38,"5"
15,"Dak Prescott","at PHI",6,28,15.62,3.59,"5"
16,"Justin Fields","vs. PIT",8,28,16.53,3.73,"5"
17,"Jared Goff","at GB",8,26,17.69,4.01,"6"
18,"Caleb Williams","vs. MIN",9,27,17.86,3.64,"6"
19,"C.J. Stroud","at LAR",10,27,19.6,3.39,"7"
20,"J.J. McCarthy","at CHI",13,27,20.31,3.07,"7"
21,"Bryce Young","at JAC",14,30,20.65,2.97,"7"
22,"Daniel Jones","vs. MIA",12,31,21.24,4.81,"7"
23,"Tua Tagovailoa","at IND",10,31,21.32,3.14,"7"
24,"Michael Penix Jr.","vs. TB",14,32,22.82,3.03,"8"
25,"Joe Flacco","vs. CIN",9,32,24.85,3.75,"8"
26,"Matthew Stafford","vs. HOU",17,32,24.93,2.26,"8"
