"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Saquon Barkley","vs. DAL",1,5,1.41,0.77,"1"
2,"Bijan Robinson","vs. TB",1,9,2.25,1.19,"1"
3,"Jahmyr Gibbs","at GB",1,12,3.91,1.62,"1"
4,"Jonathan Taylor","vs. MIA",1,12,5.12,2.33,"1"
5,"Derrick Henry","at BUF",2,13,5.74,2.22,"2"
6,"Christian McCaffrey","at SEA",1,22,6.75,4.01,"2"
7,"Chase Brown","at CLE",2,16,7.62,2.16,"2"
8,"De'Von Achane","at IND",3,15,8.22,2.65,"2"
9,"Bucky Irving","at ATL",3,18,8.45,2.44,"2"
10,"Ashton Jeanty","at NE",4,15,9.59,2.28,"2"
11,"Josh Jacobs","vs. DET",5,16,10.17,2.19,"2"
12,"James Conner","at NO",5,18,11.89,2.71,"3"
13,"Kyren Williams","vs. HOU",8,21,12.83,1.81,"3"
14,"Alvin Kamara","vs. ARI",6,19,13.81,2.1,"4"
15,"Kenneth Walker III","vs. SF",7,26,15.27,2.64,"4"
16,"Chuba Hubbard","at JAC",8,21,15.42,2.11,"4"
17,"James Cook","vs. BAL",11,25,17.1,2.1,"4"
18,"Omarion Hampton","vs. KC",12,30,19.1,3.09,"5"
19,"Tony Pollard","at DEN",14,30,19.8,2.89,"5"
20,"TreVeyon Henderson","vs. LV",10,33,21.68,3.12,"5"
21,"Breece Hall","vs. PIT",15,31,22.19,3.18,"5"
22,"Isiah Pacheco","at LAC",15,32,22.43,2.94,"5"
23,"Aaron Jones Sr.","at CHI",15,30,22.55,3,"5"
24,"D'Andre Swift","vs. MIN",16,31,23.39,2.72,"5"
25,"Tyrone Tracy Jr.","at WAS",17,34,25.34,3.44,"6"
26,"David Montgomery","at GB",16,33,25.58,3.45,"6"
27,"Jaylen Warren","at NYJ",18,38,27.23,3.63,"6"
28,"RJ Harvey","vs. TEN",17,41,28.8,4.25,"7"
29,"Travis Etienne Jr.","vs. CAR",19,40,29.95,3.17,"7"
30,"J.K. Dobbins","vs. TEN",20,55,30,5.01,"7"
31,"Austin Ekeler","vs. NYG",18,44,31.01,3.87,"7"
32,"Jerome Ford","vs. CIN",20,55,32.14,4.78,"7"
33,"Javonte Williams","at PHI",22,43,33.15,3.26,"8"
34,"Nick Chubb","at LAR",23,52,34.63,4.72,"8"
35,"Tank Bigsby","vs. CAR",23,55,35.02,3.95,"8"
36,"Jordan Mason","at CHI",20,45,35.1,3.71,"8"
37,"Rhamondre Stevenson","vs. LV",29,44,36.73,2.53,"8"
38,"Jacory Croskey-Merritt","vs. NYG",24,59,37.47,5.39,"8"
39,"Zach Charbonnet","vs. SF",30,47,38.51,2.84,"9"
40,"Dylan Sampson","vs. CIN",30,62,41.08,4.52,"9"
