"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Bijan Robinson","vs. TB",1,6,1.62,1.21,"1"
2,"Saquon Barkley","vs. DAL",1,6,2.3,0.7,"1"
3,"Jahmyr Gibbs","at GB",1,12,3.73,1.77,"1"
4,"Christian McCaffrey","at SEA",1,21,5.82,3.97,"2"
5,"Jonathan Taylor","vs. MIA",2,12,6.27,2.92,"2"
6,"Chase Brown","at CLE",1,13,6.29,1.99,"2"
7,"De'Von Achane","at IND",2,14,6.69,2.53,"2"
8,"Bucky Irving","at ATL",3,18,8.29,2.39,"2"
9,"Derrick Henry","at BUF",3,16,8.65,2.76,"2"
10,"Ashton Jeanty","at NE",4,16,9.59,2.3,"3"
11,"Josh Jacobs","vs. DET",4,17,10.84,2.05,"3"
12,"James Conner","at NO",4,19,11.76,3.14,"3"
13,"Alvin Kamara","vs. ARI",5,16,12.15,2.37,"3"
14,"Kyren Williams","vs. HOU",8,19,13.79,2.02,"4"
15,"Kenneth Walker III","vs. SF",7,25,15.05,2.64,"4"
16,"Chuba Hubbard","at JAC",8,23,15.6,2.16,"4"
17,"James Cook","vs. BAL",11,26,18.32,2.32,"5"
18,"Tony Pollard","at DEN",13,30,19.44,3.2,"5"
19,"Omarion Hampton","vs. KC",12,30,19.46,3.08,"5"
20,"Breece Hall","vs. PIT",12,30,21.59,3.45,"6"
21,"Aaron Jones Sr.","at CHI",14,30,21.8,3.24,"6"
22,"TreVeyon Henderson","vs. LV",10,33,21.99,3.34,"6"
23,"Isiah Pacheco","at LAC",15,29,22.68,2.91,"6"
24,"D'Andre Swift","vs. MIN",15,29,23.52,2.77,"6"
25,"Tyrone Tracy Jr.","at WAS",18,33,25.41,3.45,"7"
26,"Jaylen Warren","at NYJ",15,36,26.05,3.92,"7"
27,"David Montgomery","at GB",18,35,26.16,3.32,"7"
28,"RJ Harvey","vs. TEN",17,42,28.93,4.23,"8"
29,"Travis Etienne Jr.","vs. CAR",16,40,29.31,3.23,"8"
30,"Austin Ekeler","vs. NYG",15,43,30.07,4.08,"8"
31,"J.K. Dobbins","vs. TEN",18,55,30.44,5.4,"8"
32,"Jerome Ford","vs. CIN",19,55,31.48,4.65,"8"
33,"Javonte Williams","at PHI",22,41,32.37,2.79,"8"
34,"Rhamondre Stevenson","vs. LV",29,43,36.26,2.65,"9"
35,"Nick Chubb","at LAR",24,54,36.41,5.15,"9"
36,"Jordan Mason","at CHI",22,47,36.68,3.62,"9"
37,"Tank Bigsby","vs. CAR",27,57,36.8,3.95,"9"
38,"Zach Charbonnet","vs. SF",30,44,36.91,2.96,"9"
39,"Jacory Croskey-Merritt","vs. NYG",24,69,38.74,6.25,"10"
40,"Rachaad White","at ATL",32,49,40.46,2.61,"10"
