"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Saquon Barkley","vs. DAL",1,5,1.24,0.63,"1"
2,"Bijan Robinson","vs. TB",1,7,2.68,1.14,"1"
3,"Derrick Henry","at BUF",1,11,4.05,1.33,"1"
4,"Jahmyr Gibbs","at GB",2,11,4.15,1.65,"1"
5,"Jonathan Taylor","vs. MIA",1,11,4.45,1.98,"1"
6,"Christian McCaffrey","at SEA",2,22,7.78,4.27,"2"
7,"Bucky Irving","at ATL",3,18,8.05,2.24,"2"
8,"Josh Jacobs","vs. DET",4,14,8.64,2.1,"2"
9,"Chase Brown","at CLE",3,16,9.13,2.26,"2"
10,"Ashton Jeanty","at NE",5,15,9.25,2.24,"2"
11,"De'Von Achane","at IND",4,17,10.24,2.59,"2"
12,"Kyren Williams","vs. HOU",7,17,11.88,2.27,"3"
13,"James Conner","at NO",6,19,11.96,2.59,"3"
14,"Chuba Hubbard","at JAC",9,21,15.13,2.05,"4"
15,"Kenneth Walker III","vs. SF",9,25,15.16,2.51,"4"
16,"James Cook","vs. BAL",9,25,15.58,2.15,"4"
17,"Alvin Kamara","vs. ARI",9,20,16.52,2.63,"4"
18,"Omarion Hampton","vs. KC",12,30,18.32,3.09,"4"
19,"Tony Pollard","at DEN",15,30,20.24,2.68,"5"
20,"TreVeyon Henderson","vs. LV",11,34,21.42,3.23,"5"
21,"Breece Hall","vs. PIT",14,30,22.15,3.19,"5"
22,"Isiah Pacheco","at LAC",14,28,22.19,2.95,"5"
23,"D'Andre Swift","vs. MIN",16,29,22.91,2.69,"5"
24,"Aaron Jones Sr.","at CHI",16,30,23.19,2.78,"5"
25,"David Montgomery","at GB",15,34,24.87,3.46,"6"
26,"Tyrone Tracy Jr.","at WAS",18,35,25.4,3.61,"6"
27,"RJ Harvey","vs. TEN",17,43,28.68,4.58,"7"
28,"Jaylen Warren","at NYJ",21,40,28.97,3.74,"7"
29,"J.K. Dobbins","vs. TEN",19,55,30.49,5.72,"7"
30,"Travis Etienne Jr.","vs. CAR",21,41,31,3.57,"7"
31,"Nick Chubb","at LAR",20,50,32.4,5.02,"8"
32,"Tank Bigsby","vs. CAR",25,55,32.67,4,"8"
33,"Jordan Mason","at CHI",18,43,33.08,3.44,"8"
34,"Austin Ekeler","vs. NYG",21,47,33.77,4.62,"8"
35,"Jerome Ford","vs. CIN",21,55,33.92,5.31,"8"
36,"Javonte Williams","at PHI",24,45,34.43,3.43,"8"
37,"Jacory Croskey-Merritt","vs. NYG",21,64,36.77,6.13,"9"
38,"Rhamondre Stevenson","vs. LV",29,45,37.04,2.67,"9"
39,"Zach Charbonnet","vs. SF",30,48,39.41,2.88,"9"
40,"Dylan Sampson","vs. CIN",30,62,41.47,4.66,"9"
