"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Brock Bowers","at NE",1,5,1.54,0.79,"1"
2,"Trey McBride","at NO",1,4,2.04,0.75,"1"
3,"George Kittle","at SEA",1,4,2.57,0.72,"1"
4,"Travis Kelce","at LAC",3,11,5.46,1.75,"2"
5,"David Njoku","vs. CIN",2,12,5.76,1.81,"2"
6,"Sam LaPorta","at GB",4,11,6.09,1.54,"2"
7,"Mark Andrews","at BUF",2,12,6.68,1.65,"2"
8,"T.J. Hockenson","at CHI",1,11,7.12,1.62,"2"
9,"Tucker Kraft","vs. DET",6,17,10.07,1.96,"3"
10,"Evan Engram","vs. TEN",5,21,10.31,2.66,"3"
11,"Tyler Warren","vs. MIA",5,17,10.67,1.87,"3"
12,"Dallas Goedert","vs. DAL",8,20,12.5,1.92,"4"
13,"Jake Ferguson","at PHI",8,22,13.12,1.91,"4"
14,"Hunter Henry","vs. LV",8,24,14.22,2.18,"4"
15,"Kyle Pitts Sr.","vs. TB",7,26,15.71,2.43,"5"
16,"Dalton Kincaid","vs. BAL",10,24,15.96,2.37,"5"
17,"Zach Ertz","vs. NYG",9,23,16.38,2.33,"5"
18,"Brenton Strange","vs. CAR",10,37,18.63,3.13,"6"
19,"Colston Loveland","vs. MIN",12,30,19.53,2.81,"6"
20,"Chig Okonkwo","at DEN",14,30,20.96,2.45,"6"
21,"Cade Otton","at ATL",10,30,20.88,3.57,"6"
22,"Jonnu Smith","at NYJ",15,41,21.73,3.05,"6"
23,"Dalton Schultz","at LAR",11,32,24.45,3.09,"7"
24,"Ja'Tavion Sanders","at JAC",16,36,24.12,3.15,"7"
25,"Pat Freiermuth","at NYJ",17,34,25.11,2.62,"7"
