"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Brock Bowers","at NE",1,5,1.54,0.8,"1"
2,"Trey McBride","at NO",1,4,1.85,0.64,"1"
3,"George Kittle","at SEA",1,5,2.78,0.68,"1"
4,"Travis Kelce","at LAC",2,11,5.22,1.64,"2"
5,"David Njoku","vs. CIN",2,12,5.48,1.67,"2"
6,"Sam LaPorta","at GB",4,12,6.47,1.75,"2"
7,"T.J. Hockenson","at CHI",1,11,6.71,1.54,"2"
8,"Mark Andrews","at BUF",3,16,7.48,1.71,"2"
9,"Evan Engram","vs. TEN",4,20,9.55,2.58,"3"
10,"Tyler Warren","vs. MIA",6,17,10.82,2.03,"3"
11,"Tucker Kraft","vs. DET",6,17,10.91,2.36,"3"
12,"Jake Ferguson","at PHI",7,18,11.76,1.47,"3"
13,"Dallas Goedert","vs. DAL",6,20,12.9,2.03,"4"
14,"Hunter Henry","vs. LV",10,24,14.29,1.92,"4"
15,"Dalton Kincaid","vs. BAL",10,25,15.79,2.38,"5"
16,"Zach Ertz","vs. NYG",9,23,16.52,2.33,"5"
17,"Kyle Pitts Sr.","vs. TB",8,29,16.92,2.72,"5"
18,"Brenton Strange","vs. CAR",10,36,18.57,3.02,"6"
19,"Colston Loveland","vs. MIN",13,29,19.54,2.86,"6"
20,"Chig Okonkwo","at DEN",13,30,20.24,2.43,"6"
21,"Cade Otton","at ATL",10,30,21.29,3.91,"6"
22,"Jonnu Smith","at NYJ",9,41,21.74,3.54,"6"
23,"Ja'Tavion Sanders","at JAC",15,36,23.73,3.07,"7"
24,"Dalton Schultz","at LAR",11,32,24.95,2.84,"7"
25,"Pat Freiermuth","at NYJ",16,34,24.39,2.54,"7"
