"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"George Kittle","at SEA",1,4,1.68,0.61,"1"
2,"Brock Bowers","at NE",1,7,1.94,1.01,"1"
3,"Trey McBride","at NO",1,5,2.58,0.82,"1"
4,"Mark Andrews","at BUF",1,10,5.22,1.49,"2"
5,"Sam LaPorta","at GB",4,10,5.33,1.4,"2"
6,"Travis Kelce","at LAC",3,12,6.29,1.75,"2"
7,"David Njoku","vs. CIN",3,15,6.74,1.87,"2"
8,"T.J. Hockenson","at CHI",1,12,7.39,1.5,"2"
9,"Tucker Kraft","vs. DET",5,16,9.44,1.46,"3"
10,"Tyler Warren","vs. MIA",6,17,10.48,1.86,"3"
11,"Evan Engram","vs. TEN",6,22,12.19,3.11,"4"
12,"Dallas Goedert","vs. DAL",8,19,12.22,1.83,"4"
13,"Kyle Pitts Sr.","vs. TB",5,22,13.14,2.63,"4"
14,"Hunter Henry","vs. LV",10,23,13.75,1.94,"4"
15,"Dalton Kincaid","vs. BAL",11,24,15.51,2.32,"5"
16,"Jake Ferguson","at PHI",8,22,15.84,1.57,"5"
17,"Zach Ertz","vs. NYG",9,23,16.22,2.29,"5"
18,"Brenton Strange","vs. CAR",12,37,19.19,2.99,"6"
19,"Colston Loveland","vs. MIN",12,30,19.36,2.81,"6"
20,"Cade Otton","at ATL",10,29,19.98,3.2,"6"
21,"Jonnu Smith","at NYJ",10,40,21.09,3.33,"6"
22,"Chig Okonkwo","at DEN",15,30,21.85,2.43,"6"
23,"Dalton Schultz","at LAR",10,32,24.36,2.68,"7"
24,"Ja'Tavion Sanders","at JAC",16,36,25.02,3.35,"7"
