"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Ja'Marr Chase","at CLE",1,7,1.2,0.8,"1"
2,"Justin Jefferson","at CHI",1,10,3.53,1.83,"1"
3,"CeeDee Lamb","at PHI",1,14,4.12,2.4,"1"
4,"Nico Collins","at LAR",1,12,4.5,2.04,"1"
5,"Malik Nabers","at WAS",2,13,5.25,1.91,"1"
6,"Brian Thomas Jr.","vs. CAR",1,14,6.07,1.97,"1"
7,"Drake London","vs. TB",1,13,6.9,2.32,"2"
8,"Puka Nacua","vs. HOU",2,15,7.38,2.56,"2"
9,"Amon-Ra St. Brown","at GB",4,16,9.37,2.34,"2"
10,"A.J. Brown","vs. DAL",3,16,9.64,2.05,"2"
11,"Mike Evans","at ATL",3,22,10.25,2.57,"2"
12,"Ladd McConkey","vs. KC",8,21,13.24,2.18,"3"
13,"Tee Higgins","at CLE",7,24,13.29,2.5,"3"
14,"Jaxon Smith-Njigba","vs. SF",7,28,15.1,2.84,"3"
15,"Tyreek Hill","at IND",9,32,15.88,3.77,"3"
16,"Xavier Worthy","at LAC",8,37,17.05,4.75,"3"
17,"Davante Adams","vs. HOU",8,29,17.48,2.83,"3"
18,"Terry McLaurin","vs. NYG",10,32,19.75,3.81,"4"
19,"Marvin Harrison Jr.","at NO",11,34,19.85,3.4,"4"
20,"Courtland Sutton","vs. TEN",12,30,20.36,3.48,"4"
21,"Tetairoa McMillan","at JAC",12,34,20.88,4.39,"4"
22,"DJ Moore","vs. MIN",12,37,23.71,4.27,"5"
23,"DeVonta Smith","vs. DAL",15,34,24,3.24,"5"
24,"Jerry Jeudy","vs. CIN",11,39,24.27,4.79,"5"
25,"Garrett Wilson","vs. PIT",12,39,24.82,5.25,"5"
26,"Zay Flowers","at BUF",15,40,26.54,3.9,"5"
27,"Emeka Egbuka","at ATL",18,44,27.24,4.94,"5"
28,"Jaylen Waddle","at IND",17,43,27.5,4.36,"5"
29,"Jameson Williams","at GB",15,43,27.9,3.96,"5"
30,"DK Metcalf","at NYJ",15,41,29.41,4.15,"5"
31,"George Pickens","at PHI",18,45,30.1,4.31,"5"
32,"Calvin Ridley","at DEN",22,47,33.47,4.11,"6"
33,"Travis Hunter","vs. CAR",20,54,33.58,5.04,"6"
34,"Ricky Pearsall","at SEA",16,49,34.59,5.93,"6"
35,"Chris Olave","vs. ARI",25,43,34.9,3.23,"6"
36,"Deebo Samuel Sr.","vs. NYG",24,45,35.02,3.55,"6"
37,"Stefon Diggs","vs. LV",20,50,37.12,4.34,"6"
38,"Rome Odunze","vs. MIN",21,48,37.46,3.8,"6"
39,"Jakobi Meyers","at NE",25,46,37.65,3.79,"6"
40,"Matthew Golden","vs. DET",25,58,39.65,4.63,"7"
41,"Jauan Jennings","at SEA",25,52,41.87,4.3,"7"
42,"Khalil Shakir","vs. BAL",29,52,41.89,3.74,"7"
43,"Michael Pittman Jr.","vs. MIA",25,56,42.08,4.02,"7"
44,"Josh Downs","vs. MIA",28,55,42.74,4.34,"7"
45,"Cooper Kupp","vs. SF",35,59,45.69,3.96,"8"
46,"Rashid Shaheed","vs. ARI",41,58,47.5,3.2,"8"
47,"Keon Coleman","vs. BAL",35,66,48.36,4.84,"8"
48,"Cedric Tillman","vs. CIN",29,58,48.95,4.18,"8"
49,"Marvin Mims Jr.","vs. TEN",39,65,49.93,4.51,"8"
50,"Rashod Bateman","at BUF",44,67,51.85,3.8,"9"
51,"Romeo Doubs","vs. DET",37,70,52.11,4.22,"9"
52,"Marquise Brown","at LAC",36,74,52.65,5.8,"9"
53,"Xavier Legette","at JAC",44,69,55.05,4.4,"10"
54,"Adam Thielen","at CHI",45,67,55.98,4.29,"10"
55,"DeMario Douglas","vs. LV",45,78,56.52,4.19,"10"
56,"Wan'Dale Robinson","at WAS",43,69,56.93,4.13,"10"
57,"Jayden Higgins","at LAR",39,79,57.8,6.16,"10"
58,"Jayden Reed","vs. DET",35,80,54.04,7.09,"10"
59,"Joshua Palmer","vs. BAL",47,69,58.07,3.67,"10"
60,"Keenan Allen","vs. KC",32,111,56.41,11.7,"10"
