"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Ja'Marr Chase","at CLE",1,7,1.3,1.03,"1"
2,"CeeDee Lamb","at PHI",1,13,3.55,2.28,"1"
3,"Justin Jefferson","at CHI",1,10,4.01,1.63,"1"
4,"Malik Nabers","at WAS",2,11,4.54,2,"1"
5,"Nico Collins","at LAR",1,12,5.08,1.89,"1"
6,"Drake London","vs. TB",1,13,6.54,2.36,"2"
7,"Brian Thomas Jr.","vs. CAR",1,14,6.82,1.97,"2"
8,"Puka Nacua","vs. HOU",2,14,7.17,2.64,"2"
9,"Amon-Ra St. Brown","at GB",2,13,8.34,2.46,"2"
10,"A.J. Brown","vs. DAL",4,18,10.25,1.97,"3"
11,"Mike Evans","at ATL",4,22,11.08,2.75,"3"
12,"Ladd McConkey","vs. KC",8,21,12.89,2.17,"3"
13,"Tee Higgins","at CLE",8,24,13.62,2.63,"3"
14,"Jaxon Smith-Njigba","vs. SF",6,26,13.82,2.44,"3"
15,"Tyreek Hill","at IND",10,32,15.98,3.78,"4"
16,"Davante Adams","vs. HOU",8,29,17.5,2.92,"4"
17,"Xavier Worthy","at LAC",9,40,18.21,4.87,"4"
18,"Terry McLaurin","vs. NYG",10,31,20.06,3.67,"5"
19,"Tetairoa McMillan","at JAC",12,34,20.57,4.36,"5"
20,"Marvin Harrison Jr.","at NO",13,36,20.57,3.61,"5"
21,"Courtland Sutton","vs. TEN",13,30,21.17,3.79,"5"
22,"Garrett Wilson","vs. PIT",11,36,22.65,5.15,"5"
23,"DJ Moore","vs. MIN",13,35,22.66,4.15,"5"
24,"Jerry Jeudy","vs. CIN",10,37,23.48,4.62,"5"
25,"DeVonta Smith","vs. DAL",16,34,23.65,3.14,"5"
26,"Jaylen Waddle","at IND",15,44,26.63,4,"6"
27,"Zay Flowers","at BUF",15,40,27.2,3.95,"6"
28,"Emeka Egbuka","at ATL",17,48,27.31,5.61,"6"
29,"DK Metcalf","at NYJ",16,42,29.71,4.27,"6"
30,"Jameson Williams","at GB",19,47,30.56,3.72,"6"
31,"George Pickens","at PHI",18,44,30.81,4.41,"6"
32,"Chris Olave","vs. ARI",23,43,33.49,3.6,"7"
33,"Travis Hunter","vs. CAR",21,54,33.78,5.1,"7"
34,"Stefon Diggs","vs. LV",19,48,34.87,3.93,"7"
35,"Calvin Ridley","at DEN",22,48,35.14,4.72,"7"
36,"Jakobi Meyers","at NE",25,46,36.06,3.67,"7"
37,"Ricky Pearsall","at SEA",16,49,36.17,6.42,"7"
38,"Deebo Samuel Sr.","vs. NYG",25,48,37.52,4.35,"7"
39,"Rome Odunze","vs. MIN",26,47,38.46,3.55,"8"
40,"Michael Pittman Jr.","vs. MIA",23,55,39.82,4.17,"8"
41,"Khalil Shakir","vs. BAL",32,51,40.42,3.94,"8"
42,"Matthew Golden","vs. DET",26,59,41.11,4.66,"8"
43,"Josh Downs","vs. MIA",25,56,41.29,4.98,"8"
44,"Jauan Jennings","at SEA",27,52,42.26,4.08,"8"
45,"Cooper Kupp","vs. SF",34,56,44.7,3.72,"8"
46,"Cedric Tillman","vs. CIN",27,58,47.48,4.31,"9"
47,"Rashid Shaheed","vs. ARI",42,59,49.15,2.74,"9"
48,"Marvin Mims Jr.","vs. TEN",41,66,50.68,4.04,"9"
49,"Keon Coleman","vs. BAL",38,66,50.81,4,"9"
50,"Romeo Doubs","vs. DET",38,62,52.11,4.15,"10"
51,"Marquise Brown","at LAC",36,73,52.1,5.9,"10"
52,"Wan'Dale Robinson","at WAS",38,66,53.66,4.84,"10"
53,"Rashod Bateman","at BUF",47,67,53.94,3.41,"10"
54,"Xavier Legette","at JAC",43,69,54.66,4.88,"10"
55,"DeMario Douglas","vs. LV",42,74,55.41,4.82,"11"
56,"Adam Thielen","at CHI",44,65,55.43,4.69,"11"
57,"Jayden Reed","vs. DET",40,83,55.13,6.69,"10"
58,"Jayden Higgins","at LAR",38,78,57.84,5.95,"11"
59,"Joshua Palmer","vs. BAL",48,70,58.49,3.6,"11"
60,"Keenan Allen","vs. KC",31,111,56.51,12.41,"11"
