"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Ja'Marr Chase","at CLE",1,6,1.2,0.71,"1"
2,"Justin Jefferson","at CHI",1,10,3.07,1.64,"1"
3,"Nico Collins","at LAR",1,11,3.78,1.82,"1"
4,"CeeDee Lamb","at PHI",1,14,4.87,2.33,"1"
5,"Brian Thomas Jr.","vs. CAR",1,13,5.28,1.7,"1"
6,"Malik Nabers","at WAS",3,12,6.14,1.96,"2"
7,"Drake London","vs. TB",1,13,7.42,2.3,"2"
8,"Puka Nacua","vs. HOU",2,16,7.9,2.39,"2"
9,"A.J. Brown","vs. DAL",2,15,8.82,2.1,"2"
10,"Mike Evans","at ATL",2,20,9.31,2.77,"2"
11,"Amon-Ra St. Brown","at GB",4,17,10.6,2.47,"2"
12,"Ladd McConkey","vs. KC",8,23,13.08,2.06,"3"
13,"Tee Higgins","at CLE",7,23,13.17,2.45,"3"
14,"Xavier Worthy","at LAC",6,34,15.22,4.4,"4"
15,"Tyreek Hill","at IND",11,34,16.38,3.99,"4"
16,"Jaxon Smith-Njigba","vs. SF",9,29,17.03,2.57,"4"
17,"Davante Adams","vs. HOU",7,27,17.17,2.89,"4"
18,"Marvin Harrison Jr.","at NO",12,34,18.89,3.33,"4"
19,"Terry McLaurin","vs. NYG",10,30,19.01,3.41,"4"
20,"Courtland Sutton","vs. TEN",13,29,19.95,3.56,"4"
21,"Tetairoa McMillan","at JAC",13,33,21.66,4.43,"5"
22,"Jameson Williams","at GB",14,37,22.86,4,"5"
23,"DeVonta Smith","vs. DAL",17,34,25.28,3.31,"6"
24,"Zay Flowers","at BUF",14,39,25.56,3.94,"6"
25,"DJ Moore","vs. MIN",16,38,25.65,4.06,"6"
26,"Jerry Jeudy","vs. CIN",12,40,26.34,4.66,"6"
27,"Garrett Wilson","vs. PIT",14,41,27.15,5.16,"6"
28,"DK Metcalf","at NYJ",14,36,27.36,4.22,"6"
29,"Emeka Egbuka","at ATL",17,46,28.24,5.21,"6"
30,"George Pickens","at PHI",17,41,28.4,4.36,"6"
31,"Jaylen Waddle","at IND",17,45,29.33,3.83,"6"
32,"Calvin Ridley","at DEN",20,46,32.08,3.96,"7"
33,"Ricky Pearsall","at SEA",14,45,33.15,5.43,"7"
34,"Deebo Samuel Sr.","vs. NYG",22,45,33.38,3.54,"7"
35,"Travis Hunter","vs. CAR",21,54,33.96,4.81,"7"
36,"Rome Odunze","vs. MIN",27,47,36.83,3.01,"8"
37,"Chris Olave","vs. ARI",27,46,37.03,3.44,"8"
38,"Matthew Golden","vs. DET",26,56,37.38,4.29,"8"
39,"Stefon Diggs","vs. LV",24,52,39.65,4.08,"8"
40,"Jakobi Meyers","at NE",30,50,40.17,3.66,"9"
41,"Jauan Jennings","at SEA",28,52,41.38,4.48,"9"
42,"Keon Coleman","vs. BAL",33,64,43.06,5.01,"9"
43,"Rashid Shaheed","vs. ARI",37,57,44.63,3.47,"10"
44,"Khalil Shakir","vs. BAL",37,54,45.05,4.06,"10"
45,"Josh Downs","vs. MIA",31,57,46.53,4.8,"10"
46,"Michael Pittman Jr.","vs. MIA",30,58,46.92,4.03,"10"
47,"Marvin Mims Jr.","vs. TEN",36,65,47.47,4.6,"10"
48,"Rashod Bateman","at BUF",39,65,47.52,4.66,"10"
49,"Cooper Kupp","vs. SF",37,58,48.63,3.73,"10"
50,"Cedric Tillman","vs. CIN",30,58,49.78,3.87,"11"
51,"Romeo Doubs","vs. DET",35,68,51.63,4.69,"11"
52,"Marquise Brown","at LAC",37,74,52.79,5.69,"11"
53,"Jayden Reed","vs. DET",33,79,50.66,7.72,"11"
54,"Xavier Legette","at JAC",43,70,56.06,4.37,"12"
55,"Adam Thielen","at CHI",46,65,56.39,4.28,"12"
56,"Joshua Palmer","vs. BAL",45,69,56.62,3.79,"12"
57,"Jayden Higgins","at LAR",38,77,57.51,6.24,"12"
58,"DeMario Douglas","vs. LV",49,80,59.31,4.34,"12"
59,"Keenan Allen","vs. KC",32,112,57.99,12.08,"12"
60,"Wan'Dale Robinson","at WAS",53,73,62.65,3.9,"12"
