"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,12,1.72,1.79
2,"CeeDee Lamb","1","WR",1,7,2.58,1.02
3,"Tyreek Hill","1","WR",1,8,3.14,1.27
4,"Breece Hall","1","RB",1,12,5.43,2.2
5,"Ja'Marr Chase","1","WR",2,17,5.7,2.23
6,"Bijan Robinson","1","RB",1,14,5.89,2.24
7,"Amon-Ra St. Brown","1","WR",3,10,6.23,1.72
8,"Justin Jefferson","1","WR",4,16,6.97,2.03
9,"A.J. Brown","1","WR",4,13,8.64,1.58
10,"Garrett Wilson","2","WR",6,19,10.33,1.74
11,"Jonathan Taylor","2","RB",7,33,12.3,3.05
12,"Jahmyr Gibbs","2","RB",8,25,13.92,3.05
13,"Saquon Barkley","2","RB",8,33,15.18,4.45
14,"Puka Nacua","2","WR",8,38,15.52,5.66
15,"Marvin Harrison Jr.","3","WR",10,50,19.23,7.36
16,"Drake London","3","WR",11,46,21.69,6.48
17,"Derrick Henry","3","RB",12,56,21.71,10.13
18,"Travis Etienne Jr.","3","RB",11,48,22.71,9.17
19,"Davante Adams","3","WR",10,50,22.83,7.46
20,"Chris Olave","3","WR",14,45,23.74,6.4
21,"Kyren Williams","4","RB",7,57,25.76,11.9
22,"Mike Evans","4","WR",11,66,25.96,8.47
23,"Deebo Samuel Sr.","4","WR",11,47,26.44,7.74
24,"Isiah Pacheco","4","RB",12,50,27.18,9.34
25,"Josh Allen","4","QB",17,60,27.37,9.56
26,"Nico Collins","4","WR",13,74,28.42,9.25
27,"Jaylen Waddle","4","WR",11,50,29.64,7.21
28,"Brandon Aiyuk","4","WR",11,57,29.8,8.48
29,"De'Von Achane","4","RB",12,57,30.35,11.99
30,"Jalen Hurts","4","QB",17,60,30.6,7.62
31,"Cooper Kupp","4","WR",10,62,30.68,9.98
32,"Sam LaPorta","4","TE",18,74,32.05,11.1
33,"DK Metcalf","5","WR",17,52,33.06,7.13
34,"Travis Kelce","5","TE",17,74,33.39,11.79
35,"Patrick Mahomes II","5","QB",17,64,34.58,9.14
36,"DJ Moore","5","WR",11,62,35.58,7.99
37,"Josh Jacobs","5","RB",14,71,35.75,12.16
38,"Lamar Jackson","5","QB",17,67,36.6,8.99
39,"DeVonta Smith","5","WR",18,59,38.3,6.88
40,"Michael Pittman Jr.","5","WR",16,65,39.13,9.93
41,"Malik Nabers","6","WR",18,109,41.84,12.97
42,"James Cook","6","RB",14,71,43.88,10.6
43,"Amari Cooper","6","WR",23,62,44.08,7.75
44,"Kenneth Walker III","6","RB",18,67,44.82,10.21
45,"Rachaad White","6","RB",22,71,46.47,10.37
46,"Joe Mixon","6","RB",23,69,46.76,9.09
47,"Mark Andrews","7","TE",25,78,50.16,12.61
48,"Tee Higgins","7","WR",25,75,50.88,9.41
49,"Stefon Diggs","7","WR",21,99,51.52,13.88
50,"Alvin Kamara","7","RB",15,91,51.73,13.01
51,"Trey McBride","7","TE",21,94,52.4,16.58
52,"George Pickens","7","WR",30,93,53.28,12.23
53,"Anthony Richardson","7","QB",29,90,53.96,12.2
54,"Rashee Rice","7","WR",21,106,54.71,17.69
55,"Zay Flowers","8","WR",28,101,55.98,11.47
56,"C.J. Stroud","8","QB",26,90,56.25,11.51
57,"Terry McLaurin","8","WR",32,81,56.58,10.33
58,"Kyler Murray","8","QB",34,100,58.23,12.59
59,"Tank Dell","8","WR",37,108,58.79,14.32
60,"James Conner","8","RB",30,78,60.58,8.88
61,"David Montgomery","9","RB",30,88,61.73,9.2
62,"Christian Kirk","9","WR",35,95,63.78,10.75
63,"Aaron Jones","9","RB",44,91,65.61,9.25
64,"Rhamondre Stevenson","9","RB",34,99,65.85,10.63
65,"Dalton Kincaid","9","TE",27,98,65.93,15.83
66,"Joe Burrow","9","QB",46,124,66.25,15.04
