"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,11,1.82,2.02
2,"CeeDee Lamb","1","WR",1,7,2.47,0.8
3,"Tyreek Hill","1","WR",2,8,3.12,1.37
4,"Amon-Ra St. Brown","1","WR",3,12,4.82,1.6
5,"Ja'Marr Chase","1","WR",2,12,5.22,1.85
6,"Breece Hall","1","RB",1,11,6.2,2.05
7,"Bijan Robinson","1","RB",1,11,6.79,1.67
8,"Justin Jefferson","1","WR",3,12,6.84,1.74
9,"A.J. Brown","1","WR",5,12,8.99,1.44
10,"Garrett Wilson","1","WR",5,15,9.74,1.63
11,"Jahmyr Gibbs","2","RB",8,23,13.38,3.04
12,"Jonathan Taylor","2","RB",8,38,14.27,4.45
13,"Puka Nacua","2","WR",9,46,15.67,6.23
14,"Saquon Barkley","2","RB",8,45,15.84,5.41
15,"Marvin Harrison Jr.","2","WR",9,62,17.46,7.17
16,"Davante Adams","2","WR",9,49,18.28,6.79
17,"Drake London","3","WR",12,38,19.84,5.73
18,"Chris Olave","3","WR",14,42,21.73,5.93
19,"Travis Etienne Jr.","3","RB",11,47,22.68,8.22
20,"Josh Allen","3","QB",18,49,23.78,6.69
21,"Jalen Hurts","4","QB",18,54,27.83,6.77
22,"Jaylen Waddle","4","WR",11,47,28.41,8.07
23,"Cooper Kupp","4","WR",10,64,28.52,10.19
24,"Mike Evans","4","WR",12,68,29.41,8.79
25,"Michael Pittman Jr.","4","WR",12,62,29.7,10.77
26,"Nico Collins","4","WR",12,78,30.15,10.01
27,"Isiah Pacheco","4","RB",11,52,30.38,10.28
28,"Sam LaPorta","4","TE",22,81,30.8,11.01
29,"De'Von Achane","4","RB",11,66,31.34,12.32
30,"Patrick Mahomes II","4","QB",18,54,32.41,7.94
31,"Brandon Aiyuk","4","WR",12,65,32.72,9.67
32,"Kyren Williams","4","RB",13,67,33.24,12.99
33,"Travis Kelce","4","TE",23,81,33.66,13.42
34,"Derrick Henry","5","RB",13,69,33.77,11.76
35,"Lamar Jackson","5","QB",18,54,35.02,7.23
36,"Deebo Samuel Sr.","5","WR",12,62,35.15,9.17
37,"DK Metcalf","6","WR",22,54,36.64,7.86
38,"DeVonta Smith","6","WR",20,56,36.8,6.67
39,"DJ Moore","6","WR",12,64,37.23,8.79
40,"Josh Jacobs","6","RB",16,67,38.53,11.51
41,"Malik Nabers","6","WR",15,83,39.24,12.06
42,"Rachaad White","6","RB",20,70,39.83,12.24
43,"Alvin Kamara","6","RB",16,77,40.12,16.93
44,"James Cook","6","RB",16,71,42.9,9.84
45,"Amari Cooper","7","WR",23,66,47.03,7.97
46,"Stefon Diggs","7","WR",15,89,47.35,14.57
47,"Joe Mixon","7","RB",32,77,48.64,7.8
48,"Kenneth Walker III","7","RB",23,70,49.41,8.01
49,"Rashee Rice","8","WR",15,102,51.36,17.06
50,"Trey McBride","8","TE",23,97,51.65,17.19
51,"Terry McLaurin","8","WR",30,76,53.1,10.89
52,"Anthony Richardson","8","QB",29,86,53.14,10.71
