"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Ja'Marr Chase","1","WR",1,6,2.06,0.58
2,"Bijan Robinson","1","RB",1,8,2.81,1.36
3,"Saquon Barkley","1","RB",1,24,3.44,4.37
4,"CeeDee Lamb","1","WR",2,10,5.13,1.5
5,"Justin Jefferson","1","WR",3,9,5.14,1.18
6,"Jahmyr Gibbs","1","RB",1,23,5.23,2.99
7,"Derrick Henry","2","RB",1,48,8.62,5.01
8,"Nico Collins","2","WR",4,37,9.24,4.45
9,"Brian Thomas Jr.","2","WR",6,31,10.78,4
10,"Malik Nabers","2","WR",4,46,10.92,4.62
11,"Puka Nacua","2","WR",5,34,12.53,4.83
12,"Ashton Jeanty","3","RB",5,60,14.26,6.33
13,"Christian McCaffrey","3","RB",3,47,14.52,6.78
14,"Drake London","3","WR",6,32,15.85,5
15,"Jonathan Taylor","3","RB",9,40,16.27,5.89
16,"A.J. Brown","3","WR",7,35,16.94,3.83
17,"Amon-Ra St. Brown","3","WR",9,30,13.81,3.68
18,"Josh Jacobs","4","RB",12,52,19.05,6.4
19,"George Kittle","4","TE",9,56,19.94,5.92
20,"Brock Bowers","4","TE",12,34,21.35,6.33
21,"Bucky Irving","4","RB",8,45,22.78,7.06
22,"Ladd McConkey","4","WR",11,49,23.07,5.06
23,"Kyren Williams","4","RB",12,52,24.11,7.64
24,"De'Von Achane","5","RB",13,42,24.53,6.24
25,"Josh Allen","5","QB",15,36,26.13,2.18
26,"Lamar Jackson","5","QB",17,36,26.69,2.29
27,"Chase Brown","5","RB",8,45,26.88,6.34
28,"Tee Higgins","5","WR",16,59,28.44,7.73
29,"Mike Evans","5","WR",19,65,29.69,7.92
30,"Trey McBride","6","TE",16,47,30.9,5.96
31,"Jayden Daniels","6","QB",25,58,32.99,7.88
32,"James Cook","6","RB",17,52,33.77,6.11
33,"Jaxon Smith-Njigba","6","WR",14,75,34.23,9.53
34,"Tyreek Hill","7","WR",14,89,34.95,10.2
35,"Davante Adams","7","WR",19,54,36.53,7.01
36,"Jalen Hurts","7","QB",20,62,37.1,8.46
37,"Omarion Hampton","7","RB",17,148,37.81,13.63
38,"Marvin Harrison Jr.","8","WR",19,106,39.54,10.72
39,"Kenneth Walker III","8","RB",20,60,40.57,7.3
40,"Garrett Wilson","8","WR",24,69,40.86,7.95
41,"Terry McLaurin","8","WR",22,83,41.16,11.77
42,"DK Metcalf","9","WR",26,81,46.08,10.56
43,"Chuba Hubbard","9","RB",33,66,46.12,6.46
44,"Breece Hall","9","RB",20,66,46.31,9.06
45,"Joe Burrow","9","QB",29,53,46.68,9.01
46,"James Conner","9","RB",30,71,47.93,6.99
47,"Courtland Sutton","9","WR",26,81,48.08,8.49
48,"TreVeyon Henderson","9","RB",23,77,48.31,9.84
49,"Jameson Williams","9","WR",24,81,48.95,11.2
50,"Alvin Kamara","9","RB",23,64,49.49,7.56
51,"DJ Moore","10","WR",31,91,52.69,11.47
52,"Xavier Worthy","10","WR",30,132,52.96,14.2
53,"Calvin Ridley","10","WR",26,83,55.13,11.44
