"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Kansas City Chiefs","vs. TB",1,5,2.62,1.3,"1"
2,"Minnesota Vikings","vs. IND",1,9,3.69,2.73,"1"
3,"New Orleans Saints","at CAR",1,8,3.83,1.82,"1"
4,"Los Angeles Chargers","at CLE",1,11,4.9,2.59,"1"
5,"Washington Commanders","at NYG",1,11,4.93,2.48,"1"
6,"Philadelphia Eagles","vs. JAC",1,10,5.59,2.21,"1"
7,"Baltimore Ravens","vs. DEN",2,12,7.55,2.65,"2"
8,"Cincinnati Bengals","vs. LV",3,14,7.69,3.04,"2"
9,"Tennessee Titans","vs. NE",4,15,9.9,3.28,"3"
10,"New York Jets","vs. HOU",7,15,10.17,2.09,"3"
11,"Buffalo Bills","vs. MIA",5,16,10.45,2.47,"3"
12,"New England Patriots","at TEN",3,17,10.86,2.75,"3"
13,"Chicago Bears","at ARI",7,21,12.59,3.58,"4"
14,"Houston Texans","at NYJ",8,19,13.1,1.84,"4"
15,"Detroit Lions","at GB",11,23,15.76,2.01,"5"
16,"Arizona Cardinals","vs. CHI",10,22,16.79,3.3,"5"
17,"Cleveland Browns","vs. LAC",14,22,18,2.02,"6"
18,"Atlanta Falcons","vs. DAL",16,23,18.97,1.94,"6"
19,"Green Bay Packers","vs. DET",15,29,19.86,3.45,"6"
20,"Seattle Seahawks","vs. LAR",16,24,19.97,2.19,"6"
