"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
20,"De'Von Achane","vs. TEN",8,24,17.69,3.12,"1"
21,"James Cook","at BAL",16,29,20.92,2.36,"1"
22,"Brian Robinson Jr.","at ARI",16,28,22,2.26,"1"
23,"Josh Jacobs","vs. MIN",21,42,25.64,4,"2"
24,"Travis Etienne Jr.","at HOU",20,37,26,3.42,"2"
25,"Chris Godwin","vs. PHI",19,37,26.19,3.67,"2"
26,"David Montgomery","vs. SEA",23,40,27.08,3,"2"
27,"Zack Moss","at CAR",19,47,28.03,5.72,"2"
28,"DK Metcalf","at DET",14,38,28.44,4.9,"2"
29,"Najee Harris","at IND",23,45,31.17,5.16,"3"
30,"Chuba Hubbard","vs. CIN",21,48,31.22,5.96,"3"
31,"Brandon Aiyuk","vs. NE",21,43,31.58,5.56,"3"
32,"Chris Olave","at ATL",22,41,34.42,4.49,"4"
33,"Devin Singletary","vs. DAL",25,49,34.72,5.95,"4"
34,"Mike Evans","vs. PHI",25,41,34.78,4.15,"4"
35,"Tony Pollard","at MIA",26,47,35.53,5.62,"4"
36,"Garrett Wilson","vs. DEN",21,52,36.03,6.47,"4"
37,"Davante Adams","vs. CLE",27,46,36.53,3.87,"4"
38,"Diontae Johnson","vs. CIN",28,51,38.64,6.33,"4"
39,"DJ Moore","vs. LAR",32,44,39.72,2.89,"5"
40,"J.K. Dobbins","vs. KC",29,59,40.97,7.81,"5"
41,"Amari Cooper","at LV",35,52,42.22,4.08,"5"
42,"Drake London","vs. NO",36,50,42.44,2.43,"5"
43,"Zay Flowers","vs. BUF",37,52,42.5,3.31,"5"
44,"Stefon Diggs","vs. JAC",30,54,44.31,6.1,"5"
45,"Tyreek Hill","vs. TEN",32,52,44.97,4.09,"5"
46,"Rhamondre Stevenson","at SF",31,58,45.06,5.24,"5"
47,"Jayden Reed","vs. MIN",37,52,45.39,3.16,"5"
48,"Jerome Ford","at LV",38,62,49.14,5.31,"6"
49,"George Pickens","at IND",36,66,50.14,4.22,"6"
50,"Terry McLaurin","at ARI",33,57,50.58,4.41,"6"
51,"Jameson Williams","vs. SEA",43,65,52,3.27,"6"
52,"Jaxon Smith-Njigba","at DET",42,61,54.14,3.44,"6"
53,"Tee Higgins","at CAR",50,62,54.44,2.53,"6"
54,"Rachaad White","vs. PHI",38,70,56,7.11,"6"
55,"Jauan Jennings","vs. NE",50,93,59.28,8.72,"7"
56,"Dallas Goedert","at TB",46,74,59.67,4.39,"7"
57,"Rashid Shaheed","at ATL",56,66,59.75,3.17,"7"
58,"Zach Charbonnet","at DET",32,133,60.81,26.61,"7"
59,"Cam Akers","vs. JAC",30,147,61.61,23.47,"7"
60,"Brock Bowers","vs. CLE",54,80,62.72,5.98,"8"
61,"Carson Steele","at LAC",49,77,62.97,7.04,"8"
62,"Brian Thomas Jr.","at HOU",53,77,62.97,5.47,"8"
63,"Jake Ferguson","at NYG",58,80,65.03,6.08,"8"
64,"Khalil Shakir","at BAL",55,75,65.08,4.52,"8"
65,"Rome Odunze","vs. LAR",55,79,65.28,5.61,"8"
66,"Christian Kirk","at HOU",59,74,65.58,3.05,"8"
67,"Calvin Ridley","at MIA",60,84,68.56,5.93,"9"
68,"Xavier Worthy","at LAC",60,82,70.19,4.58,"9"
69,"Travis Kelce","at LAC",58,83,70.58,6.95,"9"
70,"Michael Pittman Jr.","vs. PIT",61,88,70.81,6.37,"9"
71,"Rico Dowdle","at NYG",33,86,71,9.49,"9"
72,"Bucky Irving","vs. PHI",60,106,75.42,8.52,"10"
73,"Jaylen Waddle","vs. TEN",68,89,76.17,5.36,"10"
74,"Dalton Kincaid","at BAL",61,95,77.56,6.58,"11"
75,"Ladd McConkey","vs. KC",67,98,77.75,7.48,"11"
76,"Courtland Sutton","at NYJ",67,89,79.58,5.25,"11"
77,"DeAndre Hopkins","at MIA",59,97,80.33,8.27,"11"
78,"Jerry Jeudy","at LV",66,90,80.36,6.26,"11"
79,"Darnell Mooney","vs. NO",73,90,81.89,4.33,"12"
80,"Kyle Pitts","vs. NO",68,107,82.06,7.25,"12"
81,"Braelon Allen","vs. DEN",70,120,83.44,10.75,"12"
82,"D'Andre Swift","vs. LAR",56,128,83.81,16.78,"12"
83,"Romeo Doubs","vs. MIN",65,98,84.33,8.18,"12"
84,"Wan'Dale Robinson","vs. DAL",75,96,85.28,4.41,"12"
85,"Tyler Lockett","at DET",64,100,86.42,9.31,"12"
86,"Christian Watson","vs. MIN",76,123,90.08,8.64,"13"
87,"Demarcus Robinson","at CHI",81,122,91.58,7.22,"13"
88,"Jakobi Meyers","vs. CLE",82,104,91.97,4.26,"13"
89,"Zamir White","vs. CLE",59,133,93.69,15.12,"13"
90,"Mark Andrews","vs. BUF",83,122,94.42,11.08,"13"
91,"Quentin Johnston","vs. KC",84,115,95.61,6.66,"13"
92,"Brandin Cooks","at NYG",84,114,96.11,5.72,"13"
93,"Michael Wilson","vs. WAS",85,112,96.64,6.36,"13"
94,"Javonte Williams","at NYJ",77,134,100.25,13.11,"14"
95,"Gabe Davis","at HOU",91,123,100.53,7.68,"14"
