"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
20,"DJ Moore","vs. JAC",13,35,21.2,6.11,"1"
21,"Tony Pollard","vs. IND",11,34,22.2,7.27,"1"
22,"DK Metcalf","vs. SF",13,31,22.5,4.6,"1"
23,"Diontae Johnson","vs. ATL",18,37,23.55,5.34,"1"
24,"Zay Flowers","vs. WAS",18,37,25.48,4.95,"2"
25,"James Conner","at GB",16,34,25.85,4.94,"2"
26,"Brandon Aiyuk","at SEA",15,35,27.33,3.28,"2"
27,"Deebo Samuel Sr.","at SEA",14,48,27.73,9.34,"2"
28,"Marvin Harrison Jr.","at GB",19,41,27.75,5.66,"2"
29,"Terry McLaurin","at BAL",18,33,28.33,4.23,"2"
30,"Bucky Irving","at NO",17,52,28.95,8.35,"2"
31,"D'Andre Swift","vs. JAC",17,47,29.68,5.34,"2"
32,"Tee Higgins","at NYG",24,41,30.23,3.84,"2"
33,"Wan'Dale Robinson","vs. CIN",18,58,31.58,9.84,"2"
34,"Mike Evans","at NO",24,49,34.25,5.49,"3"
35,"David Montgomery","at DAL",23,38,34.9,3.65,"3"
36,"J.K. Dobbins","at DEN",16,52,34.98,8.58,"3"
37,"DeVonta Smith","vs. CLE",26,43,35.13,3.65,"3"
38,"James Cook","at NYJ",23,65,41.68,9.31,"4"
39,"Brian Thomas Jr.","at CHI",35,48,42.15,3.15,"4"
40,"Tyrone Tracy Jr.","vs. CIN",23,64,43,9.51,"4"
41,"Chris Olave","vs. TB",29,66,43.6,7.99,"4"
42,"Darnell Mooney","at CAR",41,60,45.6,3.94,"4"
43,"George Kittle","at SEA",42,55,45.95,3.25,"4"
44,"Antonio Gibson","vs. HOU",38,107,48.15,12.98,"5"
45,"Najee Harris","at LV",36,64,48.55,8.94,"5"
46,"Travis Etienne Jr.","at CHI",34,65,49.38,7.17,"5"
47,"Jake Ferguson","vs. DET",42,72,50.2,7.86,"5"
48,"Jaxon Smith-Njigba","vs. SF",37,67,50.45,7.76,"5"
49,"Amari Cooper","at PHI",44,60,50.53,4.2,"5"
50,"Brock Bowers","vs. PIT",42,55,51,5.41,"5"
51,"Austin Ekeler","at BAL",30,107,51.25,13.32,"5"
52,"Trey McBride","at GB",42,74,51.25,6.7,"5"
53,"Jameson Williams","at DAL",37,60,51.3,4.65,"5"
54,"Tank Dell","at NE",35,81,51.35,8.64,"5"
55,"Chase Brown","at NYG",27,68,51.98,10.12,"5"
56,"Joe Mixon","at NE",34,154,55.95,26.47,"6"
57,"Rico Dowdle","vs. DET",40,66,57.65,6.78,"6"
58,"George Pickens","at LV",46,84,58.55,6.51,"6"
59,"Javonte Williams","vs. LAC",47,107,59.73,12.19,"6"
60,"Christian Kirk","at CHI",48,73,61.8,5.85,"6"
61,"Rashid Shaheed","vs. TB",48,84,62.55,6.94,"6"
62,"Josh Downs","at TEN",37,85,63.73,10.76,"7"
63,"Keenan Allen","vs. JAC",48,75,65.4,6.92,"7"
64,"Ladd McConkey","at DEN",49,76,65.43,7.07,"7"
65,"Calvin Ridley","vs. IND",48,84,66.38,7.5,"7"
66,"Jerome Ford","at PHI",50,106,68.4,12.61,"7"
67,"Dontayvion Wicks","vs. ARI",53,93,68.5,9.25,"7"
68,"Jalen Tolbert","vs. DET",44,84,68.53,9.36,"7"
69,"Darius Slayton","vs. CIN",46,126,68.78,16.46,"7"
70,"Courtland Sutton","vs. LAC",58,85,68.88,6.27,"7"
71,"Sam LaPorta","at DAL",44,78,72.13,9.15,"8"
72,"Trey Sermon","at TEN",47,109,72.65,13.86,"8"
73,"Rome Odunze","vs. JAC",58,84,72.95,6.55,"8"
74,"Tucker Kraft","vs. ARI",72,78,74.4,1.64,"8"
75,"DeAndre Hopkins","vs. IND",58,90,74.55,7.77,"8"
76,"Tyler Lockett","vs. SF",70,86,75.45,4.79,"8"
77,"Zack Moss","at NYG",52,153,79.48,26.47,"9"
78,"Michael Wilson","at GB",68,90,81.45,5.05,"9"
79,"Dalton Kincaid","at NYJ",76,89,81.65,4.77,"9"
80,"Xavier Legette","vs. ATL",71,97,83.33,5.84,"9"
81,"Tre Tucker","vs. PIT",67,100,83.38,6.83,"9"
82,"Kyle Pitts","at CAR",75,89,84.03,4.52,"9"
83,"Tyjae Spears","vs. IND",63,110,84.68,14.16,"9"
84,"Tank Bigsby","at CHI",50,114,84.73,21.48,"9"
85,"Romeo Doubs","vs. ARI",69,99,86,6.52,"9"
86,"Dallas Goedert","vs. CLE",77,96,86.1,4.97,"9"
87,"Allen Lazard","vs. BUF",81,100,87.6,4.58,"10"
88,"Evan Engram","at CHI",78,114,89.53,6.8,"10"
89,"Ray-Ray McCloud III","at CAR",71,111,90.05,10.83,"10"
90,"Jerry Jeudy","at PHI",84,102,90.7,3.8,"10"
91,"Jauan Jennings","at SEA",85,104,91.1,4.46,"10"
92,"Alexander Mattison","vs. PIT",64,113,92.6,16.78,"11"
93,"Rashod Bateman","vs. WAS",68,104,94.3,6.78,"11"
94,"Quentin Johnston","at DEN",86,115,95.25,6.19,"11"
95,"Pat Freiermuth","at LV",83,105,95.48,4.75,"11"
