"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
20,"David Montgomery","at HOU",15,22,19.14,2.26,"1"
21,"J.K. Dobbins","vs. TEN",14,25,19.57,2.58,"1"
22,"Chase Brown","at BAL",16,30,23.86,4.85,"1"
23,"Najee Harris","at WAS",20,26,23.86,2.03,"1"
24,"Tyreek Hill","at LAR",21,32,24.29,3.33,"1"
25,"Malik Nabers","at CAR",23,27,25,1.51,"1"
26,"Tony Pollard","at LAC",21,33,26.07,4.13,"2"
27,"Chuba Hubbard","vs. NYG",23,33,27.14,2.97,"2"
28,"Amon-Ra St. Brown","at HOU",24,31,27.71,1.94,"2"
29,"Rhamondre Stevenson","at CHI",26,35,29.29,2.34,"2"
30,"Cooper Kupp","vs. MIA",24,36,30.21,3.05,"2"
31,"Garrett Wilson","at ARI",28,37,30.57,2.23,"2"
32,"Deebo Samuel Sr.","at TB",28,36,33.14,1.77,"3"
33,"Puka Nacua","vs. MIA",33,38,35.71,1.53,"3"
34,"Rico Dowdle","vs. PHI",30,49,36.21,5.97,"3"
35,"A.J. Brown","at DAL",27,73,37.14,10.39,"3"
36,"George Pickens","at WAS",34,45,37.64,3.48,"3"
37,"DeVonta Smith","at DAL",28,48,39.64,5.02,"4"
38,"Zay Flowers","vs. CIN",36,48,40.21,3.19,"4"
39,"Drake London","at NO",38,44,40.21,1.7,"4"
40,"George Kittle","at TB",40,51,41.07,2.79,"4"
41,"Davante Adams","at ARI",34,48,43,4.31,"5"
42,"Tank Dell","vs. DET",37,49,43.36,3.85,"5"
43,"Brian Robinson Jr.","vs. PIT",29,61,43.5,11.57,"5"
44,"Terry McLaurin","vs. PIT",39,47,43.71,2.71,"5"
45,"CeeDee Lamb","vs. PHI",22,97,45.5,18.86,"5"
46,"Brian Thomas Jr.","vs. MIN",38,49,45.57,3.52,"5"
47,"Darnell Mooney","at NO",42,53,46.5,2.75,"5"
48,"Rachaad White","vs. SF",34,57,48.86,7.13,"6"
49,"Tank Bigsby","vs. MIN",35,63,49.07,7.77,"6"
50,"Raheem Mostert","at LAR",29,63,50.86,8.87,"6"
51,"DeAndre Hopkins","vs. DEN",39,66,52.21,7.28,"7"
52,"Calvin Ridley","at LAC",49,64,53.64,4.75,"7"
53,"Bucky Irving","vs. SF",41,59,53.93,5.87,"7"
54,"DJ Moore","vs. NE",51,66,54.21,4.59,"7"
55,"Travis Kelce","vs. DEN",50,66,54.79,6.14,"7"
56,"Khalil Shakir","at IND",52,58,54.93,1.44,"7"
57,"Josh Downs","vs. BUF",52,65,55.64,4.65,"7"
58,"Marvin Harrison Jr.","vs. NYJ",54,64,56.79,3.14,"7"
59,"Ladd McConkey","vs. TEN",49,60,56.86,3.36,"7"
60,"Courtland Sutton","at KC",55,65,59.86,3.07,"8"
61,"Javonte Williams","at KC",49,69,60.5,4.64,"8"
62,"Tyler Allgeier","at NO",59,77,63.57,4.44,"9"
63,"Jordan Addison","at JAC",58,68,64.21,2.83,"9"
64,"Jaylen Waddle","at LAR",58,74,65,4.58,"9"
65,"Jameson Williams","at HOU",50,79,65.93,8.71,"9"
66,"Cade Otton","vs. SF",62,76,67.36,3.7,"9"
67,"Trey McBride","vs. NYJ",56,73,67.79,4.52,"9"
68,"Amari Cooper","at IND",48,89,68.14,12.46,"9"
69,"Rome Odunze","vs. NE",63,79,70.14,4.22,"10"
70,"Jauan Jennings","at TB",63,78,70.36,4.78,"10"
71,"Taysom Hill","vs. ATL",62,90,72.79,9.55,"10"
72,"Travis Etienne Jr.","vs. MIN",63,101,73.5,11.2,"10"
73,"Kyle Pitts","at NO",71,83,74.29,3.84,"10"
74,"Xavier Legette","vs. NYG",69,85,76,3.4,"10"
75,"Xavier Worthy","vs. DEN",71,84,76.64,3.2,"11"
76,"Ray Davis","at IND",57,116,79.36,17.34,"11"
77,"Quentin Johnston","vs. TEN",75,85,79.64,2.74,"11"
78,"Michael Pittman Jr.","vs. BUF",73,91,79.93,5.31,"11"
79,"Austin Ekeler","vs. PIT",66,101,80,10.92,"11"
80,"Evan Engram","vs. MIN",71,86,80,3.96,"11"
81,"Keenan Allen","vs. NE",73,89,82.36,4.51,"11"
82,"Dalton Kincaid","at IND",72,95,84.71,5.55,"12"
83,"Mark Andrews","vs. CIN",67,98,86.07,9.57,"12"
84,"Darius Slayton","at CAR",81,100,86.93,5.64,"12"
85,"DeMario Douglas","at CHI",84,102,89,4.81,"13"
86,"Mike Gesicki","at BAL",83,96,89.79,3.86,"13"
87,"Wan'Dale Robinson","at CAR",81,113,90.36,8.25,"13"
88,"Rashod Bateman","vs. CIN",84,105,91,6.13,"13"
89,"Jaylen Warren","at WAS",70,117,92.14,15.51,"13"
90,"Sam LaPorta","at HOU",83,103,92.14,6.19,"13"
91,"Demarcus Robinson","vs. MIA",82,112,92.36,9.15,"13"
92,"Ricky Pearsall","at TB",79,109,93.21,7.67,"13"
93,"Diontae Johnson","vs. CIN",82,109,93.43,5.64,"13"
94,"Noah Brown","vs. PIT",80,110,94.21,7.76,"13"
95,"T.J. Hockenson","at JAC",87,104,94.29,3.79,"13"
