"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Brandon Aubrey","at NYG",1,2,1.08,0.28,"1"
2,"Ka'imi Fairbairn","vs. JAC",1,4,2.33,0.62,"1"
3,"Harrison Butker","at LAC",2,8,3.67,1.72,"1"
4,"Evan McPherson","at CAR",3,8,4.79,1,"1"
5,"Jake Moody","vs. NE",2,13,5.29,2.54,"1"
6,"Matt Prater","vs. WAS",4,14,7.58,2.38,"2"
7,"Justin Tucker","vs. BUF",4,15,7.63,2.27,"2"
8,"Younghoe Koo","vs. NO",7,20,9.33,3.41,"2"
9,"Blake Grupe","at ATL",5,18,9.92,3.04,"3"
10,"Chris Boswell","at IND",2,19,11.17,3.21,"3"
11,"Chase McLaughlin","vs. PHI",7,17,11.21,2.36,"3"
12,"Tyler Bass","at BAL",4,16,12.25,3.11,"3"
13,"Jason Myers","at DET",10,18,12.96,1.77,"3"
14,"Jake Elliott","at TB",8,23,13.08,3.17,"3"
15,"Jake Bates","vs. SEA",9,21,15.5,2.89,"4"
16,"Dustin Hopkins","at LV",7,24,16.04,3.82,"4"
17,"Cairo Santos","vs. LAR",11,23,16.79,2.43,"4"
18,"Brayden Narveson","vs. MIN",10,24,18.71,3.47,"5"
19,"Daniel Carlson","vs. CLE",15,27,19.33,2.23,"5"
20,"Cameron Dicker","vs. KC",13,31,20.71,4.33,"5"
