"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Bijan Robinson","RB",1,3,1.28,0.51,"1"
2,"Jahmyr Gibbs","RB",1,4,2.52,0.71,"1"
3,"Saquon Barkley","RB",1,6,2.66,1.14,"1"
4,"Christian McCaffrey","RB",1,12,5.32,2.07,"2"
5,"Derrick Henry","RB",2,10,5.52,1.42,"2"
6,"Ashton Jeanty","RB",3,13,5.68,1.88,"2"
7,"De'Von Achane","RB",4,13,6.59,1.76,"2"
8,"Jonathan Taylor","RB",5,13,9.17,1.87,"3"
9,"Josh Jacobs","RB",5,13,9.32,1.68,"3"
10,"Bucky Irving","RB",6,16,10.01,2.04,"3"
11,"Chase Brown","RB",6,16,10.51,2.31,"3"
12,"Kyren Williams","RB",7,19,11.35,2.12,"3"
13,"Breece Hall","RB",9,20,14.54,2.34,"4"
14,"Kenneth Walker III","RB",10,19,15.17,2.01,"4"
15,"James Cook","RB",10,26,15.34,2.39,"4"
16,"Omarion Hampton","RB",9,27,15.45,3.83,"4"
17,"Alvin Kamara","RB",11,21,16.11,2.36,"4"
18,"Chuba Hubbard","RB",13,24,17.66,2.08,"4"
19,"James Conner","RB",13,24,18.82,1.92,"4"
20,"TreVeyon Henderson","RB",15,32,21.63,3.76,"5"
21,"David Montgomery","RB",18,27,22.08,2.09,"5"
22,"D'Andre Swift","RB",18,31,23.11,2.79,"5"
23,"RJ Harvey","RB",17,37,24,4.52,"5"
24,"Aaron Jones Sr.","RB",20,33,25.07,2.68,"6"
25,"Tony Pollard","RB",18,36,25.28,3.43,"6"
26,"Isiah Pacheco","RB",18,33,25.42,3.03,"6"
27,"Kaleb Johnson","RB",20,39,26.54,4.1,"6"
28,"Joe Mixon","RB",14,50,27.63,6.51,"6"
29,"Brian Robinson Jr.","RB",23,38,29.21,2.54,"7"
30,"Tyrone Tracy Jr.","RB",20,42,31.08,4.03,"7"
31,"Jaylen Warren","RB",23,43,31.93,3.87,"7"
32,"Travis Etienne Jr.","RB",25,53,34.14,5.58,"8"
33,"Jordan Mason","RB",26,50,34.52,5.75,"8"
34,"Javonte Williams","RB",25,54,36.14,5.98,"8"
35,"Zach Charbonnet","RB",32,46,37.68,3.41,"9"
36,"Rhamondre Stevenson","RB",29,49,38.01,4.53,"9"
37,"Cam Skattebo","RB",28,53,38.9,5.3,"9"
38,"Tyjae Spears","RB",29,52,39.65,4.27,"9"
39,"Tank Bigsby","RB",26,57,39.7,6.63,"9"
40,"J.K. Dobbins","RB",25,68,38.31,8.36,"9"
