"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Bijan Robinson","RB",1,3,1.27,0.48,"1"
2,"Jahmyr Gibbs","RB",1,4,2.25,0.68,"1"
3,"Saquon Barkley","RB",2,7,3.48,1.12,"1"
4,"Christian McCaffrey","RB",1,10,4.38,2.03,"2"
5,"De'Von Achane","RB",3,12,5.52,1.64,"2"
6,"Ashton Jeanty","RB",3,13,5.64,1.87,"2"
7,"Derrick Henry","RB",3,13,7.42,1.82,"3"
8,"Chase Brown","RB",5,15,9.11,2.17,"3"
9,"Josh Jacobs","RB",4,15,9.78,1.87,"3"
10,"Bucky Irving","RB",5,16,9.84,2.39,"3"
11,"Jonathan Taylor","RB",6,16,10.38,2.32,"3"
12,"Kyren Williams","RB",8,19,12.36,2.33,"4"
13,"Alvin Kamara","RB",8,20,13.72,2.49,"4"
14,"Breece Hall","RB",9,20,13.91,2.63,"4"
15,"Kenneth Walker III","RB",9,19,14.97,2.22,"4"
16,"Omarion Hampton","RB",8,27,15.94,3.9,"5"
17,"James Cook","RB",11,27,16.61,2.52,"5"
18,"Chuba Hubbard","RB",13,24,17.83,2.14,"5"
19,"James Conner","RB",13,24,18.7,2.12,"5"
20,"TreVeyon Henderson","RB",16,33,22.05,3.91,"6"
21,"David Montgomery","RB",18,29,22.5,2.23,"6"
22,"D'Andre Swift","RB",18,32,23.03,2.86,"6"
23,"RJ Harvey","RB",16,37,23.84,4.29,"6"
24,"Aaron Jones Sr.","RB",20,33,24.31,2.86,"6"
25,"Tony Pollard","RB",18,35,25.27,3.66,"6"
26,"Isiah Pacheco","RB",18,32,25.59,3.07,"6"
27,"Kaleb Johnson","RB",21,41,27.69,4.62,"7"
28,"Joe Mixon","RB",14,53,27.91,6.51,"7"
29,"Brian Robinson Jr.","RB",24,38,30.28,2.64,"8"
30,"Jaylen Warren","RB",20,42,30.38,4.31,"8"
31,"Tyrone Tracy Jr.","RB",20,42,30.94,4.24,"8"
32,"Travis Etienne Jr.","RB",24,48,33.06,5.61,"8"
33,"Javonte Williams","RB",25,50,35.08,5.87,"9"
34,"Jordan Mason","RB",26,52,36.2,5.94,"9"
35,"Zach Charbonnet","RB",32,46,36.86,3.59,"9"
36,"Rhamondre Stevenson","RB",28,48,37.81,4.59,"10"
37,"Tyjae Spears","RB",26,49,38.47,4.1,"10"
38,"Cam Skattebo","RB",27,52,38.97,5.56,"10"
39,"J.K. Dobbins","RB",26,69,38.71,8.32,"10"
40,"Rachaad White","RB",32,55,40.38,5.6,"10"
