"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Saquon Barkley","RB",1,5,1.62,1.21,"1"
2,"Bijan Robinson","RB",1,3,1.88,0.49,"1"
3,"Jahmyr Gibbs","RB",2,6,3.28,1.03,"1"
4,"Derrick Henry","RB",2,7,4.13,0.9,"1"
5,"Ashton Jeanty","RB",2,11,5.75,1.72,"2"
6,"Christian McCaffrey","RB",3,14,6.47,2.56,"2"
7,"Jonathan Taylor","RB",4,12,7.58,1.8,"2"
8,"De'Von Achane","RB",5,13,8.02,1.72,"2"
9,"Josh Jacobs","RB",4,11,8.45,1.43,"2"
10,"Bucky Irving","RB",5,15,9.77,1.94,"3"
11,"Kyren Williams","RB",7,14,10.77,1.68,"3"
12,"Chase Brown","RB",7,17,11.82,1.94,"3"
13,"James Cook","RB",11,19,13.47,1.68,"3"
14,"Breece Hall","RB",11,21,14.93,2.19,"4"
15,"Kenneth Walker III","RB",10,20,15.68,2.04,"4"
16,"Omarion Hampton","RB",10,30,16.45,4.12,"4"
17,"Chuba Hubbard","RB",14,22,17.65,1.97,"4"
18,"James Conner","RB",14,22,18,1.78,"4"
19,"Alvin Kamara","RB",12,26,18.27,2.86,"4"
20,"David Montgomery","RB",17,26,21.02,2.43,"5"
21,"D'Andre Swift","RB",16,41,22.38,4,"5"
22,"TreVeyon Henderson","RB",17,41,23.87,4.2,"6"
23,"Aaron Jones Sr.","RB",20,30,24.93,2.92,"6"
24,"Joe Mixon","RB",13,48,25.15,6.35,"6"
25,"RJ Harvey","RB",18,69,25.4,7.05,"6"
26,"Tony Pollard","RB",19,33,26.1,3.2,"6"
27,"Isiah Pacheco","RB",19,34,26.25,3.05,"6"
28,"Kaleb Johnson","RB",16,63,26.58,6.84,"6"
29,"Brian Robinson Jr.","RB",22,33,27.37,2.55,"6"
30,"Tyrone Tracy Jr.","RB",22,41,32.53,4.1,"7"
31,"Jaylen Warren","RB",24,44,33.63,4.4,"7"
32,"Jordan Mason","RB",25,49,35.07,6.45,"7"
33,"Travis Etienne Jr.","RB",28,48,35.57,5.1,"8"
34,"Najee Harris","RB",25,50,36.47,5.64,"8"
35,"Rhamondre Stevenson","RB",28,51,37.33,5.18,"8"
36,"Javonte Williams","RB",29,59,37.68,6.56,"8"
37,"Cam Skattebo","RB",28,58,37.72,6.29,"8"
38,"Tank Bigsby","RB",23,54,37.87,6.37,"8"
39,"Quinshon Judkins","RB",24,60,38.38,9.44,"8"
40,"Zach Charbonnet","RB",33,45,39.22,2.87,"8"
