"Rank","Player.Name","Matchup","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Sam LaPorta","vs. TB",1,3,1.47,0.68,"1"
2,"Trey McBride","vs. LAR",1,4,2.26,0.85,"1"
3,"Travis Kelce","vs. CIN",1,7,2.68,1.3,"1"
4,"Dalton Kincaid","at MIA",3,9,5.16,1.5,"2"
5,"George Kittle","at MIN",3,8,5.26,1.45,"2"
6,"Kyle Pitts","at PHI",3,8,6.05,1.23,"2"
7,"Mark Andrews","vs. LV",5,10,7.21,1.94,"2"
8,"Evan Engram","vs. CLE",5,11,7.84,1.78,"2"
9,"Isaiah Likely","vs. LV",6,13,9.63,2.06,"3"
10,"Brock Bowers","at BAL",6,12,9.74,1.83,"3"
11,"Dallas Goedert","vs. ATL",9,13,11.16,1.14,"3"
12,"Dalton Schultz","vs. CHI",11,20,13.95,1.79,"4"
13,"Taysom Hill","at DAL",11,22,14.05,2.68,"4"
14,"Pat Freiermuth","at DEN",12,19,14.68,1.84,"4"
15,"Hunter Henry","vs. SEA",14,19,17.21,1.67,"5"
16,"Tyler Conklin","at TEN",15,26,18.47,2.98,"5"
17,"Colby Parkinson","at ARI",13,27,19.11,4.67,"5"
18,"Cade Otton","at DET",18,25,20.58,1.96,"6"
19,"Zach Ertz","vs. NYG",17,24,21.74,2.38,"6"
20,"Mike Gesicki","at KC",16,26,22.16,2.66,"6"
21,"Jonnu Smith","vs. BUF",17,38,22.58,6.36,"7"
22,"Cole Kmet","at HOU",15,27,22.79,2.61,"7"
23,"Noah Fant","at NE",18,26,22.84,2.64,"7"
24,"Chig Okonkwo","vs. NYJ",19,28,22.95,2.72,"7"
25,"Tucker Kraft","vs. IND",17,31,24.53,3.44,"7"
