"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Brock Bowers","TE",1,3,1.25,0.49,"1"
2,"Trey McBride","TE",1,3,1.88,0.39,"1"
3,"George Kittle","TE",1,6,2.92,0.62,"1"
4,"T.J. Hockenson","TE",4,10,5.17,1.49,"2"
5,"Sam LaPorta","TE",3,8,5.91,0.97,"2"
6,"Travis Kelce","TE",4,11,6.01,2.02,"2"
7,"David Njoku","TE",4,13,7.49,2.21,"3"
8,"Evan Engram","TE",4,13,8.05,2.18,"3"
9,"Mark Andrews","TE",6,15,8.62,2.14,"3"
10,"Tucker Kraft","TE",7,24,11.18,2.51,"4"
11,"Jake Ferguson","TE",6,19,11.7,2.32,"4"
12,"Tyler Warren","TE",6,21,12.08,3.44,"4"
13,"Dalton Kincaid","TE",9,20,13.78,2.56,"5"
14,"Dallas Goedert","TE",10,21,14.69,2.43,"5"
15,"Colston Loveland","TE",10,29,15.69,4.23,"5"
16,"Hunter Henry","TE",9,24,16.81,2.84,"6"
17,"Kyle Pitts Sr.","TE",10,26,18.09,3.24,"6"
18,"Jonnu Smith","TE",6,32,18.45,4.68,"6"
19,"Zach Ertz","TE",10,27,18.53,3.27,"6"
20,"Brenton Strange","TE",10,38,19.75,5.1,"7"
21,"Mike Gesicki","TE",15,39,23.39,4.44,"8"
22,"Chig Okonkwo","TE",14,43,22.62,5.76,"8"
23,"Pat Freiermuth","TE",16,39,23.61,4.67,"8"
24,"Isaiah Likely","TE",20,35,24.99,2.95,"8"
25,"Cade Otton","TE",17,34,24.82,3.85,"8"
