"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Brock Bowers","TE",1,3,1.59,0.8,"1"
2,"George Kittle","TE",1,4,1.69,0.59,"1"
3,"Trey McBride","TE",1,4,2.77,0.48,"1"
4,"Sam LaPorta","TE",2,7,4.5,0.74,"2"
5,"Mark Andrews","TE",4,10,5.38,1.9,"2"
6,"T.J. Hockenson","TE",5,11,6.24,1.18,"2"
7,"Travis Kelce","TE",5,14,7.92,1.89,"3"
8,"Tucker Kraft","TE",5,13,8.89,1.4,"3"
9,"David Njoku","TE",6,14,9.35,2.45,"3"
10,"Tyler Warren","TE",4,18,10.74,3.01,"4"
11,"Evan Engram","TE",7,22,11.11,3.29,"4"
12,"Dalton Kincaid","TE",9,20,13.54,2.63,"5"
13,"Dallas Goedert","TE",9,20,13.57,2.65,"5"
14,"Kyle Pitts Sr.","TE",9,21,14.12,2.53,"5"
15,"Colston Loveland","TE",10,26,15.3,4.02,"5"
16,"Jake Ferguson","TE",8,24,15.89,3.25,"5"
17,"Hunter Henry","TE",10,24,17.65,2.9,"6"
18,"Jonnu Smith","TE",7,31,17.97,4.9,"6"
19,"Isaiah Likely","TE",11,33,18.85,4.3,"6"
20,"Zach Ertz","TE",12,28,19.45,3.31,"6"
21,"Brenton Strange","TE",14,40,22.03,5.18,"7"
22,"Mike Gesicki","TE",16,39,24.68,4.62,"8"
23,"Pat Freiermuth","TE",17,39,24.95,4.29,"8"
24,"Cade Otton","TE",18,34,24.62,3.59,"8"
