"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Ja'Marr Chase","WR",1,1,1,0,"1"
2,"CeeDee Lamb","WR",2,4,2.5,0.58,"1"
3,"Justin Jefferson","WR",2,4,2.62,0.59,"1"
4,"Malik Nabers","WR",3,10,5.49,1.65,"2"
5,"Nico Collins","WR",3,13,6.12,1.8,"2"
6,"Amon-Ra St. Brown","WR",3,11,6.28,1.68,"2"
7,"Puka Nacua","WR",3,11,6.29,1.93,"2"
8,"Brian Thomas Jr.","WR",4,11,7.34,1.46,"2"
9,"Drake London","WR",4,12,8.49,1.8,"2"
10,"A.J. Brown","WR",6,13,9.61,1.31,"2"
11,"Ladd McConkey","WR",8,17,11.61,1.76,"3"
12,"Jaxon Smith-Njigba","WR",9,26,13.59,3.22,"3"
13,"Tee Higgins","WR",11,23,14.14,2.68,"3"
14,"Tyreek Hill","WR",10,25,15.17,3.27,"3"
15,"Garrett Wilson","WR",9,24,15.4,2.76,"3"
16,"Mike Evans","WR",11,24,15.94,2.54,"3"
17,"Davante Adams","WR",12,28,17.03,3.12,"3"
18,"Marvin Harrison Jr.","WR",12,33,19.53,4.24,"4"
19,"Terry McLaurin","WR",12,35,20.17,4.49,"4"
20,"DJ Moore","WR",13,31,21.13,3.75,"4"
21,"DK Metcalf","WR",14,35,22.46,4.53,"4"
22,"Courtland Sutton","WR",15,34,23.74,4,"5"
23,"DeVonta Smith","WR",16,36,24.9,4.1,"5"
24,"Tetairoa McMillan","WR",14,53,25.4,7.36,"5"
25,"Jameson Williams","WR",14,41,25.88,4.84,"5"
26,"Xavier Worthy","WR",15,42,26.43,5.29,"5"
27,"Zay Flowers","WR",19,38,26.99,4.29,"5"
28,"Calvin Ridley","WR",19,36,27.28,4.18,"5"
29,"George Pickens","WR",14,36,27.57,4.69,"5"
30,"Jaylen Waddle","WR",17,45,28.4,5.37,"5"
31,"Rashee Rice","WR",16,53,30.32,8.01,"6"
32,"Travis Hunter","WR",22,45,32.37,5.03,"6"
33,"Chris Olave","WR",22,44,32.68,4.33,"6"
34,"Jerry Jeudy","WR",27,47,35.18,4.54,"6"
35,"Rome Odunze","WR",25,50,35.42,4.96,"6"
36,"Jakobi Meyers","WR",28,52,38.22,4.41,"7"
37,"Ricky Pearsall","WR",25,55,38.32,6.72,"7"
38,"Stefon Diggs","WR",26,51,38.6,4.74,"7"
39,"Jordan Addison","WR",25,53,39.68,5.38,"7"
40,"Jauan Jennings","WR",28,52,40.1,4.82,"7"
41,"Deebo Samuel Sr.","WR",28,53,41.84,5.31,"8"
42,"Chris Godwin","WR",29,60,42.72,7.29,"8"
43,"Khalil Shakir","WR",31,54,42.83,4.54,"8"
44,"Emeka Egbuka","WR",31,64,43.21,7.77,"8"
45,"Jayden Reed","WR",34,57,43.7,4.71,"8"
46,"Josh Downs","WR",33,55,45.5,4.43,"8"
47,"Cooper Kupp","WR",31,61,46.98,5.42,"8"
48,"Michael Pittman Jr.","WR",35,59,47.38,4.31,"8"
49,"Matthew Golden","WR",31,88,45.02,8.2,"8"
50,"Darnell Mooney","WR",41,66,50.83,4.9,"9"
51,"Keon Coleman","WR",39,67,52.64,6.05,"9"
52,"Rashid Shaheed","WR",41,64,53.11,4.81,"9"
53,"Brandon Aiyuk","WR",33,74,53.54,6.48,"9"
54,"Christian Kirk","WR",42,75,55.46,5.61,"9"
55,"Rashod Bateman","WR",47,70,57.49,5.08,"10"
56,"Luther Burden III","WR",45,74,57.98,6.12,"10"
57,"Cedric Tillman","WR",45,74,58.63,5.65,"10"
58,"Marvin Mims Jr.","WR",47,92,59.23,6.86,"10"
59,"Jayden Higgins","WR",40,91,58.49,8.6,"10"
60,"Romeo Doubs","WR",49,76,62.89,5.16,"10"
