"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Ja'Marr Chase","WR",1,3,1.05,0.26,"1"
2,"CeeDee Lamb","WR",1,5,2.41,0.6,"1"
3,"Justin Jefferson","WR",2,6,2.85,0.84,"1"
4,"Malik Nabers","WR",2,10,4.97,1.42,"2"
5,"Amon-Ra St. Brown","WR",4,9,5.74,1.63,"2"
6,"Nico Collins","WR",3,12,6.53,1.66,"2"
7,"Puka Nacua","WR",3,11,6.89,1.83,"2"
8,"Drake London","WR",3,12,7.75,2.23,"2"
9,"Brian Thomas Jr.","WR",4,12,7.75,1.24,"2"
10,"A.J. Brown","WR",7,17,10.54,1.54,"3"
11,"Ladd McConkey","WR",7,16,11.23,1.77,"3"
12,"Jaxon Smith-Njigba","WR",6,24,12.78,3.06,"3"
13,"Tee Higgins","WR",10,24,13.96,2.77,"3"
14,"Garrett Wilson","WR",9,23,14.92,3.25,"3"
15,"Tyreek Hill","WR",10,29,15.95,3.64,"4"
16,"Davante Adams","WR",12,25,17.12,2.68,"4"
17,"Mike Evans","WR",11,29,17.26,3.14,"4"
18,"Marvin Harrison Jr.","WR",12,30,19.26,3.55,"4"
19,"Terry McLaurin","WR",12,35,19.72,4.63,"4"
20,"DJ Moore","WR",12,34,21.34,4.49,"5"
21,"Tetairoa McMillan","WR",14,37,23.09,5.87,"5"
22,"Courtland Sutton","WR",14,33,23.19,3.8,"5"
23,"DK Metcalf","WR",15,43,23.23,4.81,"5"
24,"DeVonta Smith","WR",18,37,24.15,3.73,"5"
25,"Xavier Worthy","WR",17,42,26.61,5.4,"6"
26,"Jaylen Waddle","WR",16,41,27.02,5.18,"6"
27,"Calvin Ridley","WR",16,41,27.68,4.7,"6"
28,"George Pickens","WR",15,41,27.96,5.56,"6"
29,"Jameson Williams","WR",18,45,28.94,4.62,"6"
30,"Zay Flowers","WR",21,45,29.01,5.04,"6"
31,"Chris Olave","WR",23,45,32.25,4.07,"7"
32,"Travis Hunter","WR",17,69,32.35,6.55,"7"
33,"Rashee Rice","WR",13,57,33.94,8.12,"7"
34,"Jerry Jeudy","WR",23,46,34.17,4.7,"7"
35,"Rome Odunze","WR",22,47,34.9,5,"7"
36,"Emeka Egbuka","WR",15,53,35.12,6.61,"7"
37,"Stefon Diggs","WR",22,50,35.96,5.2,"8"
38,"Ricky Pearsall","WR",23,50,36.99,6.11,"8"
39,"Jakobi Meyers","WR",25,51,37.65,4.47,"8"
40,"Khalil Shakir","WR",34,52,42.39,4.26,"9"
41,"Jordan Addison","WR",28,54,42.77,4.99,"9"
42,"Deebo Samuel Sr.","WR",29,54,42.92,5.29,"9"
43,"Jauan Jennings","WR",31,58,43.04,4.49,"9"
44,"Josh Downs","WR",33,54,43.38,4.21,"9"
45,"Michael Pittman Jr.","WR",31,58,43.5,5.34,"9"
46,"Matthew Golden","WR",32,63,43.6,6.65,"9"
47,"Cooper Kupp","WR",36,62,45.93,4.7,"10"
48,"Chris Godwin Jr.","WR",26,68,46.29,7.8,"10"
49,"Jayden Reed","WR",40,62,48.32,4.11,"10"
50,"Darnell Mooney","WR",41,66,51.94,4.84,"11"
51,"Keon Coleman","WR",38,69,52.91,5.64,"11"
52,"Christian Kirk","WR",44,82,54.14,5.69,"11"
53,"Rashid Shaheed","WR",47,66,54.44,4.57,"11"
54,"Brandon Aiyuk","WR",40,77,56.04,6.13,"11"
55,"Cedric Tillman","WR",45,74,58.46,5.02,"12"
56,"Marvin Mims Jr.","WR",44,93,58.71,6.75,"12"
57,"Luther Burden III","WR",45,79,58.72,6.85,"12"
58,"Rashod Bateman","WR",49,71,59.52,5.3,"12"
59,"Jayden Higgins","WR",39,80,60.04,8.65,"12"
60,"Wan'Dale Robinson","WR",33,82,61.16,8.93,"12"
