"Rank","Player.Name","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev","Tier"
1,"Ja'Marr Chase","WR",1,2,1.03,0.17,"1"
2,"CeeDee Lamb","WR",1,5,2.54,0.66,"1"
3,"Justin Jefferson","WR",2,5,2.67,0.65,"1"
4,"Nico Collins","WR",2,11,5.09,1.86,"2"
5,"Brian Thomas Jr.","WR",4,13,5.95,1.69,"2"
6,"Malik Nabers","WR",2,12,6.22,1.63,"2"
7,"Puka Nacua","WR",3,15,7.16,2.1,"2"
8,"Amon-Ra St. Brown","WR",5,12,7.95,1.34,"2"
9,"Drake London","WR",3,12,8.37,2.16,"2"
10,"A.J. Brown","WR",4,15,8.77,1.44,"2"
11,"Ladd McConkey","WR",7,17,11.52,1.59,"3"
12,"Tee Higgins","WR",9,24,13.68,3.02,"3"
13,"Mike Evans","WR",10,24,14.22,2.96,"3"
14,"Jaxon Smith-Njigba","WR",9,30,15.97,3.81,"4"
15,"Tyreek Hill","WR",9,30,16.31,3.95,"4"
16,"Davante Adams","WR",10,26,16.89,3.22,"4"
17,"Marvin Harrison Jr.","WR",12,33,18.14,3.96,"4"
18,"Garrett Wilson","WR",12,29,18.96,3.71,"4"
19,"Terry McLaurin","WR",12,36,19.12,4.88,"4"
20,"DK Metcalf","WR",13,35,21.31,4.55,"5"
21,"Jameson Williams","WR",12,34,22.37,4.33,"5"
22,"Courtland Sutton","WR",13,32,22.64,3.6,"5"
23,"Xavier Worthy","WR",13,36,23.87,4.89,"5"
24,"Tetairoa McMillan","WR",14,37,24.71,5.6,"5"
25,"DJ Moore","WR",15,39,24.73,4.59,"5"
26,"Calvin Ridley","WR",13,34,25.26,4.3,"5"
27,"George Pickens","WR",14,35,25.7,5.19,"5"
28,"DeVonta Smith","WR",19,39,26.74,3.62,"6"
29,"Zay Flowers","WR",19,39,27.68,4.56,"6"
30,"Jaylen Waddle","WR",18,44,29.51,5,"6"
31,"Travis Hunter","WR",19,69,32.3,5.86,"7"
32,"Ricky Pearsall","WR",21,45,33.61,4.9,"7"
33,"Rome Odunze","WR",23,45,34,3.97,"7"
34,"Emeka Egbuka","WR",14,52,35.23,6.1,"8"
35,"Rashee Rice","WR",16,59,36.19,7.79,"8"
36,"Chris Olave","WR",28,49,36.54,4.39,"8"
37,"Jerry Jeudy","WR",27,49,37.08,4.91,"8"
38,"Deebo Samuel Sr.","WR",22,53,37.58,4.91,"8"
39,"Jordan Addison","WR",26,49,38.85,4.92,"8"
40,"Matthew Golden","WR",29,62,39.7,6.75,"9"
41,"Jayden Reed","WR",33,57,41.31,5.29,"9"
42,"Jauan Jennings","WR",31,53,41.48,4.09,"9"
43,"Stefon Diggs","WR",28,53,41.72,5.53,"9"
44,"Jakobi Meyers","WR",29,54,42.56,4.27,"9"
45,"Khalil Shakir","WR",39,54,46.95,3.69,"10"
46,"Keon Coleman","WR",31,64,47.03,7.62,"10"
47,"Josh Downs","WR",38,56,48.68,3.59,"10"
48,"Chris Godwin Jr.","WR",30,69,48.88,7.08,"10"
49,"Cooper Kupp","WR",35,62,49.3,4.25,"10"
50,"Darnell Mooney","WR",37,65,49.94,5.65,"10"
51,"Michael Pittman Jr.","WR",38,61,50.25,3.99,"10"
52,"Rashid Shaheed","WR",40,65,51.3,5.46,"10"
53,"Brandon Aiyuk","WR",40,77,54.22,6.93,"11"
54,"Christian Kirk","WR",45,82,55,5.61,"11"
55,"Rashod Bateman","WR",38,68,55.12,6.05,"11"
56,"Marvin Mims Jr.","WR",39,87,56.02,6.92,"11"
57,"Luther Burden III","WR",45,81,59.44,6.48,"12"
58,"Cedric Tillman","WR",45,70,59.46,4.93,"12"
59,"Jayden Higgins","WR",40,82,59.59,8.84,"12"
60,"Romeo Doubs","WR",46,91,62.4,6.44,"12"
