"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,8,1.82,1.85
2,"CeeDee Lamb","1","WR",1,7,2.67,1.19
3,"Tyreek Hill","1","WR",2,7,3.22,1.08
4,"Ja'Marr Chase","1","WR",1,9,4.64,1.68
5,"Bijan Robinson","1","RB",1,10,5.87,2.07
6,"Breece Hall","1","RB",1,12,5.92,2.17
7,"Justin Jefferson","1","WR",3,12,6.37,1.84
8,"Amon-Ra St. Brown","1","WR",3,10,6.58,1.73
9,"A.J. Brown","1","WR",5,13,9.05,1.44
10,"Garrett Wilson","2","WR",5,16,10.63,2.02
11,"Jonathan Taylor","2","RB",8,21,12.34,2.31
12,"Jahmyr Gibbs","2","RB",8,37,14.59,4.55
13,"Puka Nacua","2","WR",9,36,14.8,5.3
14,"Saquon Barkley","2","RB",10,39,15.29,4.53
15,"Marvin Harrison Jr.","3","WR",7,47,19.07,7.65
16,"Kyren Williams","3","RB",8,43,21.09,8.48
17,"Derrick Henry","3","RB",12,61,22.03,9.73
18,"Chris Olave","3","WR",13,43,22.3,5.94
19,"Davante Adams","3","WR",10,43,22.34,6.72
20,"Drake London","3","WR",13,43,22.39,6.38
21,"Travis Etienne Jr.","3","RB",13,43,22.7,7.54
22,"Mike Evans","4","WR",11,49,25.5,6.85
23,"Isiah Pacheco","4","RB",12,49,26.83,9.4
24,"Deebo Samuel Sr.","4","WR",11,44,26.86,7.96
25,"Brandon Aiyuk","4","WR",11,44,26.89,7.23
26,"Josh Allen","4","QB",17,51,27.63,9.17
27,"Nico Collins","4","WR",13,64,27.95,9.45
28,"Jaylen Waddle","4","WR",15,43,28.63,7.17
29,"Jalen Hurts","5","QB",17,51,31.26,8.32
30,"De'Von Achane","5","RB",12,63,31.58,13.25
31,"Sam LaPorta","5","TE",14,64,32.68,10.31
32,"Cooper Kupp","5","WR",14,56,33.01,10.16
33,"DK Metcalf","5","WR",20,48,33.47,6.98
34,"DJ Moore","5","WR",17,53,34.21,7.15
35,"Travis Kelce","5","TE",19,78,34.78,12.42
36,"Patrick Mahomes II","5","QB",17,67,35.89,9.88
37,"Lamar Jackson","5","QB",17,71,36.55,9.43
38,"Michael Pittman Jr.","5","WR",18,68,36.82,10.25
39,"DeVonta Smith","5","WR",24,59,38,7.55
40,"Rachaad White","6","RB",22,63,41.61,8.57
41,"Josh Jacobs","6","RB",17,79,42.39,12.09
42,"Malik Nabers","6","WR",24,89,42.95,12.35
43,"Amari Cooper","6","WR",30,59,43.01,7.55
44,"Joe Mixon","6","RB",23,69,43.82,9.68
45,"James Cook","6","RB",18,66,45.43,9.22
46,"Mark Andrews","7","TE",27,74,47.71,11.98
47,"Kenneth Walker III","7","RB",22,73,48.08,9.17
48,"Stefon Diggs","7","WR",24,87,49.25,11.64
49,"Tee Higgins","7","WR",32,77,51.26,8.46
50,"Trey McBride","8","TE",26,94,52.53,15.25
51,"Anthony Richardson","8","QB",29,90,52.86,12.51
52,"George Pickens","8","WR",31,89,52.92,12.89
53,"Alvin Kamara","8","RB",30,83,54.03,11.52
54,"C.J. Stroud","8","QB",34,87,55.45,9.73
55,"Zay Flowers","8","WR",29,93,55.92,11.34
56,"Tank Dell","8","WR",36,93,57.07,12.55
57,"Christian Kirk","8","WR",31,89,58.43,12.01
58,"Terry McLaurin","9","WR",38,94,60.58,11.12
59,"David Montgomery","9","RB",40,83,61.58,8.59
60,"James Conner","9","RB",34,78,61.67,9.71
61,"Kyler Murray","9","QB",38,107,63.53,14.53
62,"Rhamondre Stevenson","9","RB",40,95,64.05,10.2
63,"Aaron Jones","9","RB",41,79,64.33,8.33
64,"Joe Burrow","9","QB",44,119,64.71,14.68
65,"Dak Prescott","10","QB",29,108,67.17,16.83
66,"Chris Godwin","10","WR",37,95,67.22,12.77
67,"Keenan Allen","10","WR",41,106,69.18,11.74
68,"Dalton Kincaid","10","TE",30,106,69.26,16.34
69,"Rashee Rice","10","WR",35,134,69.55,18.38
70,"Diontae Johnson","10","WR",43,108,70.74,14.27
71,"Jordan Love","10","QB",44,107,71.09,13.63
72,"Calvin Ridley","10","WR",44,99,71.46,11.56
73,"Najee Harris","10","RB",56,92,72.04,7.25
74,"Zamir White","10","RB",48,101,72.07,11.13
75,"Kyle Pitts","11","TE",25,123,75.32,17.44
76,"Raheem Mostert","11","RB",48,113,76.01,12.48
77,"D'Andre Swift","11","RB",55,101,76.28,8.79
78,"George Kittle","11","TE",45,97,76.46,12.83
79,"Jayden Reed","12","WR",49,132,81.37,16.76
80,"Tony Pollard","12","RB",52,113,82.24,12.49
81,"Jaylen Warren","12","RB",56,120,82.92,12.1
82,"Evan Engram","12","TE",57,101,85.82,9.32
83,"Brian Robinson Jr.","12","RB",64,119,85.84,13.29
84,"Brock Purdy","12","QB",58,133,86.99,17.33
85,"Jayden Daniels","12","QB",58,172,88.7,18.2
86,"Javonte Williams","12","RB",52,126,88.93,15.34
87,"Christian Watson","13","WR",50,142,91.37,16.79
88,"Devin Singletary","13","RB",63,126,92.28,13.16
89,"DeAndre Hopkins","13","WR",62,131,92.87,14.51
90,"Hollywood Brown","13","WR",46,163,95.01,21.12
91,"Jake Ferguson","13","TE",67,132,95.01,9.83
92,"Xavier Worthy","13","WR",59,119,95.47,15.29
93,"Tyjae Spears","13","RB",73,121,96.03,12.22
94,"Jaxon Smith-Njigba","13","WR",65,139,96.79,15.81
95,"David Njoku","13","TE",65,126,97.5,10.16
96,"Tua Tagovailoa","13","QB",72,165,98.41,20.78
97,"Zack Moss","13","RB",62,130,98.74,13.64
98,"Caleb Williams","14","QB",58,146,99.24,18.94
99,"Jared Goff","14","QB",72,156,99.62,19.04
100,"Courtland Sutton","14","WR",71,131,101.57,12.84
101,"Ladd McConkey","14","WR",71,164,101.59,19.09
102,"Jordan Addison","14","WR",72,164,101.76,15.08
103,"Jonathon Brooks","14","RB",61,244,102.88,27.98
104,"Rome Odunze","14","WR",65,176,103.32,22.8
105,"Trevor Lawrence","14","QB",60,166,105.75,20.87
106,"Chase Brown","15","RB",77,159,106.25,18.8
107,"Dallas Goedert","15","TE",96,139,108.57,10.71
108,"Brock Bowers","15","TE",82,138,109.49,12.72
109,"Austin Ekeler","15","RB",71,157,110.32,18.55
110,"Gus Edwards","15","RB",83,140,112.29,11.45
111,"Tyler Lockett","15","WR",62,153,113.39,15.51
112,"Jameson Williams","16","WR",74,177,115.49,20.25
113,"Brian Thomas Jr.","16","WR",79,169,115.49,18.36
114,"Ezekiel Elliott","16","RB",73,159,116.96,17.96
115,"Jerome Ford","16","RB",88,146,117.01,13.85
116,"Justin Herbert","16","QB",83,180,117.26,24.14
117,"Pat Freiermuth","16","TE",97,179,118.25,15.72
