"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,8,1.88,2.07
2,"CeeDee Lamb","1","WR",2,7,2.77,1.15
3,"Tyreek Hill","1","WR",1,7,2.94,1.15
4,"Ja'Marr Chase","1","WR",2,8,4.53,1.51
5,"Amon-Ra St. Brown","1","WR",3,10,5,1.37
6,"Breece Hall","1","RB",1,8,6.28,1.9
7,"Justin Jefferson","1","WR",3,10,6.67,1.77
8,"Bijan Robinson","1","RB",1,11,6.76,1.89
9,"A.J. Brown","1","WR",6,12,9.07,1.22
10,"Garrett Wilson","1","WR",5,20,10.23,1.98
11,"Jahmyr Gibbs","2","RB",11,33,13.65,3.93
12,"Jonathan Taylor","2","RB",8,40,14.73,4.77
13,"Puka Nacua","2","WR",9,32,14.85,4.96
14,"Marvin Harrison Jr.","2","WR",9,39,16.73,5.78
15,"Saquon Barkley","2","RB",8,49,17.02,7.51
16,"Davante Adams","2","WR",9,43,17.25,5.54
17,"Drake London","3","WR",12,36,19.65,4.94
18,"Chris Olave","3","WR",12,39,20.96,5.25
19,"Josh Allen","3","QB",18,41,22.08,5.19
20,"Travis Etienne Jr.","4","RB",11,49,25.55,10.2
21,"Michael Pittman Jr.","4","WR",9,59,26.75,9.15
22,"Jaylen Waddle","4","WR",14,45,26.93,6.98
23,"Jalen Hurts","4","QB",18,51,27.37,7.04
24,"Mike Evans","4","WR",15,44,27.81,5.99
25,"Cooper Kupp","4","WR",12,59,28.26,9.57
26,"Nico Collins","4","WR",12,61,28.78,8.43
27,"Brandon Aiyuk","4","WR",12,50,28.84,7.72
28,"Sam LaPorta","4","TE",23,73,29.21,9.66
29,"Kyren Williams","4","RB",11,55,30.63,12.75
30,"Travis Kelce","5","TE",24,78,31.92,11.79
31,"Patrick Mahomes II","5","QB",18,56,32.04,7.46
32,"Lamar Jackson","5","QB",18,54,32.22,6.5
33,"Isiah Pacheco","5","RB",11,56,33.21,11.25
34,"Deebo Samuel Sr.","5","WR",12,59,33.44,8.42
35,"De'Von Achane","5","RB",11,66,34.79,13.68
36,"DJ Moore","5","WR",21,53,34.8,7.57
37,"DeVonta Smith","5","WR",21,59,35.44,6.06
38,"DK Metcalf","5","WR",23,59,35.93,7.51
39,"Derrick Henry","6","RB",12,56,37.87,11.59
40,"Malik Nabers","6","WR",15,80,37.96,11.86
41,"Rachaad White","7","RB",16,69,42.87,10.1
42,"Amari Cooper","7","WR",23,61,43.07,6.58
43,"Alvin Kamara","7","RB",16,79,45.01,14.98
44,"Stefon Diggs","7","WR",20,89,45.07,13.45
45,"James Cook","7","RB",17,71,47.27,9.46
46,"Josh Jacobs","8","RB",17,69,49.07,8.92
47,"Anthony Richardson","8","QB",29,83,49.56,9.63
48,"Trey McBride","8","TE",23,94,50.16,15.5
49,"Zay Flowers","8","WR",28,87,51.43,10
50,"Tee Higgins","8","WR",30,71,51.57,7.92
51,"Joe Mixon","8","RB",31,77,51.87,7.89
52,"C.J. Stroud","8","QB",34,83,52.95,8.36
53,"George Pickens","9","WR",32,106,55.11,13.69
54,"Christian Kirk","9","WR",21,91,55.17,12.05
55,"Terry McLaurin","9","WR",30,87,55.29,11.37
56,"Kenneth Walker III","9","RB",33,76,55.54,7.74
57,"Kyler Murray","9","QB",34,88,56.93,10.82
58,"Tank Dell","9","WR",32,99,57.2,12.51
59,"Rashee Rice","9","WR",23,127,57.79,19.02
60,"Mark Andrews","9","TE",25,85,58.89,16.67
61,"Joe Burrow","9","QB",46,90,59.48,8.54
62,"Chris Godwin","10","WR",23,93,62.36,13.08
63,"Dak Prescott","10","QB",34,101,63.2,11.19
64,"Keenan Allen","10","WR",26,95,64.34,14.43
65,"James Conner","10","RB",42,86,65.26,8.31
66,"Aaron Jones","10","RB",42,88,66.12,6.95
67,"Rhamondre Stevenson","10","RB",42,113,66.29,9.18
68,"Diontae Johnson","10","WR",37,98,66.84,12.51
69,"Dalton Kincaid","10","TE",27,96,67.2,14.66
70,"Jordan Love","10","QB",51,91,67.93,9.16
71,"Calvin Ridley","10","WR",32,106,70.02,13.63
72,"David Montgomery","11","RB",53,101,71.97,9.18
73,"Najee Harris","11","RB",55,113,76.56,10.18
74,"D'Andre Swift","11","RB",50,116,76.65,10.47
75,"Jayden Daniels","11","QB",54,247,78.07,21.82
76,"Evan Engram","11","TE",48,100,79.9,10.93
77,"Zamir White","11","RB",52,117,80.15,15.67
78,"Brock Purdy","11","QB",58,105,80.2,9.77
79,"Jayden Reed","12","WR",47,135,82.32,15.73
80,"Raheem Mostert","12","RB",55,116,82.78,13.34
81,"Kyle Pitts","12","TE",34,105,83.12,13.42
82,"Javonte Williams","12","RB",56,121,84.66,12.76
83,"Jaxon Smith-Njigba","12","WR",44,125,85.79,13.54
84,"George Kittle","12","TE",48,97,86.64,10.63
85,"Tony Pollard","12","RB",66,142,87.69,13.93
86,"Caleb Williams","12","QB",58,133,87.83,13.72
87,"Tua Tagovailoa","12","QB",70,118,88.83,10.45
88,"Jaylen Warren","12","RB",66,131,88.94,15.05
89,"Jared Goff","12","QB",60,116,91.11,10.01
90,"DeAndre Hopkins","13","WR",57,141,92.08,14.71
91,"Brian Robinson Jr.","13","RB",69,126,93.29,13.96
92,"Jake Ferguson","14","TE",70,123,95.42,7.31
93,"Xavier Worthy","14","WR",61,115,95.52,15.94
94,"David Njoku","14","TE",73,111,96.6,6.74
95,"Devin Singletary","14","RB",71,129,96.82,14.02
96,"Tyjae Spears","14","RB",64,134,96.85,14.11
97,"Trevor Lawrence","14","QB",70,128,97.01,12.03
98,"Courtland Sutton","14","WR",68,136,98.34,13.52
99,"Rome Odunze","14","WR",61,172,99.46,23.29
100,"Ladd McConkey","14","WR",59,217,100.89,21.47
101,"Hollywood Brown","14","WR",62,162,100.96,18.16
102,"Jordan Addison","14","WR",75,153,101.15,15.47
103,"Christian Watson","15","WR",53,141,103.65,18.8
104,"Dallas Goedert","15","TE",94,137,104.07,7.22
105,"Brock Bowers","15","TE",73,137,104.58,11.44
106,"Austin Ekeler","15","RB",64,155,107.4,18.26
107,"Kirk Cousins","15","QB",83,146,107.88,10.31
108,"Justin Herbert","15","QB",70,137,108.04,13.63
109,"Chase Brown","15","RB",69,174,109.42,17.39
110,"Brian Thomas Jr.","15","WR",62,173,109.73,19.76
111,"Zack Moss","15","RB",67,155,109.91,18.03
112,"Matthew Stafford","16","QB",84,140,111.75,9.69
113,"Tyler Lockett","16","WR",75,165,112.43,17.42
114,"Jonathon Brooks","16","RB",64,176,113.67,20.05
115,"Pat Freiermuth","16","TE",96,225,115.46,18.42
116,"Jakobi Meyers","16","WR",81,165,116,16.53
117,"Dalton Schultz","17","TE",97,202,119.6,15.17
118,"Jerome Ford","17","RB",74,144,122.06,14.25
119,"Aaron Rodgers","17","QB",90,178,122.66,14.76
120,"Jameson Williams","17","WR",80,173,122.93,18.6
121,"Deshaun Watson","17","QB",83,168,123.78,15.82
122,"Keon Coleman","17","WR",65,167,124.2,21.63
123,"Gus Edwards","17","RB",88,151,124.71,12.34
124,"Ezekiel Elliott","17","RB",71,193,125.93,17.08
125,"Joshua Palmer","17","WR",87,175,126.19,20.63
