"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,8,1.87,2.07
2,"CeeDee Lamb","1","WR",2,5,2.68,0.86
3,"Tyreek Hill","1","WR",1,5,2.71,0.72
4,"Ja'Marr Chase","1","WR",2,9,4.32,1.17
5,"Justin Jefferson","1","WR",2,20,5.8,2.34
6,"Breece Hall","1","RB",1,12,6.49,1.99
7,"Bijan Robinson","1","RB",1,13,6.83,2.07
8,"Amon-Ra St. Brown","1","WR",3,11,7.02,1.13
9,"A.J. Brown","1","WR",4,11,8.46,1.87
10,"Garrett Wilson","2","WR",4,22,10.83,3.5
11,"Jonathan Taylor","2","RB",6,18,12.4,1.65
12,"Puka Nacua","3","WR",9,35,15.88,6.38
13,"Derrick Henry","3","RB",12,53,16.24,7.63
14,"Saquon Barkley","3","RB",10,39,16.9,6.23
15,"Jahmyr Gibbs","3","RB",13,39,17.43,7.06
16,"Deebo Samuel Sr.","3","WR",9,35,18.88,5.5
17,"Kyren Williams","3","RB",11,42,19.81,8.27
18,"Josh Allen","3","QB",17,34,20.91,5.19
19,"Marvin Harrison Jr.","3","WR",9,44,21.17,7.59
20,"Mike Evans","3","WR",16,39,21.36,5.54
21,"Brandon Aiyuk","4","WR",11,50,24.6,7.31
22,"Nico Collins","4","WR",11,61,26.15,7.78
23,"Drake London","4","WR",11,59,26.27,6.71
24,"Chris Olave","4","WR",11,43,26.41,5.66
25,"Jalen Hurts","4","QB",17,51,26.69,6.85
26,"Travis Etienne Jr.","4","RB",12,48,27.24,9.8
27,"Isiah Pacheco","4","RB",13,53,28.21,10.37
28,"Sam LaPorta","4","TE",24,76,29.31,10.15
29,"Davante Adams","4","WR",11,56,29.73,7.59
30,"DK Metcalf","5","WR",18,50,30.16,6.79
31,"Lamar Jackson","5","QB",17,54,31.17,6.21
32,"Patrick Mahomes II","5","QB",17,54,31.32,7.05
33,"Jaylen Waddle","5","WR",19,50,32.1,6.37
34,"Travis Kelce","5","TE",25,85,33.74,14.36
35,"DJ Moore","5","WR",17,47,33.8,6.78
36,"Cooper Kupp","5","WR",11,62,34.16,10.42
37,"De'Von Achane","5","RB",12,66,35.12,12.53
38,"Amari Cooper","6","WR",24,59,39.26,5.28
39,"DeVonta Smith","6","WR",28,61,41.86,6.65
40,"Kenneth Walker III","6","RB",18,67,41.98,10.22
41,"Josh Jacobs","6","RB",18,69,42.6,9.33
42,"Malik Nabers","6","WR",20,80,43.6,11.49
43,"Tee Higgins","7","WR",24,73,45.73,8.87
44,"Joe Mixon","7","RB",15,69,46.06,8.09
45,"James Cook","7","RB",18,71,46.3,9.24
46,"George Pickens","7","WR",30,91,47.3,13.44
47,"Anthony Richardson","7","QB",29,83,48.88,8.79
48,"Mark Andrews","7","TE",25,85,48.99,13.46
49,"Rachaad White","7","RB",21,74,49.95,7.65
50,"Tank Dell","7","WR",30,93,49.99,12.92
51,"Michael Pittman Jr.","7","WR",11,81,51.31,11.6
52,"C.J. Stroud","7","QB",34,82,52.38,7.65
53,"David Montgomery","8","RB",18,74,54.7,8.48
54,"Kyler Murray","8","QB",34,83,56.28,10.13
55,"Stefon Diggs","8","WR",35,108,57.34,13.21
56,"Zay Flowers","8","WR",31,108,57.72,11.01
57,"Joe Burrow","8","QB",46,90,58.49,7.14
58,"James Conner","8","RB",37,95,59.35,9.88
59,"Alvin Kamara","9","RB",45,99,60.89,10.53
60,"Dak Prescott","9","QB",34,85,62.04,9.16
61,"Terry McLaurin","9","WR",36,106,62.33,12.4
62,"Trey McBride","9","TE",27,98,63.8,19.04
63,"Rashee Rice","10","WR",31,141,64.58,19.66
64,"Christian Kirk","10","WR",35,109,66.28,10.96
65,"Calvin Ridley","10","WR",31,93,66.86,12.89
66,"Najee Harris","10","RB",39,92,66.89,8.42
67,"Rhamondre Stevenson","10","RB",40,95,67.06,8.7
68,"Jordan Love","10","QB",51,90,67.1,8.88
