"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,8,1.59,1.46
2,"CeeDee Lamb","1","WR",1,7,2.75,1.1
3,"Tyreek Hill","1","WR",1,6,2.92,0.99
4,"Ja'Marr Chase","1","WR",1,10,4.9,1.71
5,"Breece Hall","1","RB",1,12,5.72,2.15
6,"Bijan Robinson","1","RB",1,12,5.9,2.02
7,"Amon-Ra St. Brown","1","WR",2,10,6.45,1.65
8,"Justin Jefferson","1","WR",3,12,6.77,1.8
9,"A.J. Brown","1","WR",5,15,9.12,1.7
10,"Garrett Wilson","2","WR",7,35,11.12,3
11,"Jonathan Taylor","2","RB",6,33,12.12,3.12
12,"Jahmyr Gibbs","2","RB",8,33,14.09,3.63
13,"Puka Nacua","2","WR",9,35,14.81,4.69
14,"Saquon Barkley","2","RB",8,42,15.54,5.66
15,"Marvin Harrison Jr.","3","WR",9,44,18.59,6.81
16,"Derrick Henry","3","RB",12,52,20.81,8.94
17,"Davante Adams","3","WR",11,43,21.62,6.09
18,"Kyren Williams","3","RB",8,48,21.71,9.08
19,"Drake London","3","WR",11,41,21.79,6.27
20,"Travis Etienne Jr.","3","RB",10,43,22.77,8.16
21,"Chris Olave","3","WR",13,47,23.4,6.47
22,"Mike Evans","3","WR",11,43,25.18,6.33
23,"Josh Allen","4","QB",17,48,26.27,8.02
24,"Isiah Pacheco","4","RB",13,55,26.35,9.86
25,"Deebo Samuel Sr.","4","WR",10,46,27.39,8.34
26,"Brandon Aiyuk","4","WR",11,47,28.43,7.6
27,"Nico Collins","4","WR",12,64,28.53,8.94
28,"Jaylen Waddle","4","WR",15,47,29.24,7.31
29,"De'Von Achane","4","RB",12,56,29.96,11.91
30,"Jalen Hurts","4","QB",17,55,30.88,7.86
31,"Cooper Kupp","4","WR",11,54,31.92,9.61
32,"Sam LaPorta","4","TE",14,74,31.99,10.27
33,"Travis Kelce","5","TE",19,74,32.57,9.97
34,"DK Metcalf","5","WR",20,59,34.65,7.69
35,"DJ Moore","5","WR",20,53,35.25,7.15
36,"Lamar Jackson","5","QB",17,66,35.58,8.45
37,"Patrick Mahomes II","5","QB",24,66,36.22,8.72
38,"Michael Pittman Jr.","5","WR",11,68,37.5,9.84
39,"DeVonta Smith","5","WR",24,59,38.59,7.06
40,"Malik Nabers","6","WR",19,89,41.65,12.06
41,"Josh Jacobs","6","RB",17,75,41.96,11.17
42,"Amari Cooper","6","WR",23,61,42.65,7.08
43,"James Cook","6","RB",16,69,43.06,10.09
44,"Rachaad White","6","RB",18,70,43.06,10.09
45,"Joe Mixon","6","RB",24,69,46.19,9.83
46,"Kenneth Walker III","6","RB",22,67,47.5,10.02
47,"Mark Andrews","7","TE",25,94,49.27,13.18
48,"Stefon Diggs","7","WR",23,104,50.99,13.74
49,"Tee Higgins","7","WR",31,76,51.24,8.09
50,"Anthony Richardson","7","QB",29,85,51.79,11.2
51,"Alvin Kamara","7","RB",18,95,52.04,12.76
52,"George Pickens","7","WR",35,91,54.12,11.89
53,"Trey McBride","7","TE",26,96,54.52,16.11
54,"Tank Dell","7","WR",32,91,55.68,11.26
55,"Zay Flowers","7","WR",29,93,56.53,10.26
56,"C.J. Stroud","7","QB",34,88,56.63,10.47
57,"Terry McLaurin","8","WR",30,93,60.35,10.74
58,"James Conner","8","RB",33,86,60.46,9.46
59,"David Montgomery","8","RB",37,88,61.56,9.1
