"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Christian McCaffrey","1","RB",1,8,1.97,2.15
2,"CeeDee Lamb","1","WR",2,5,2.5,0.86
3,"Tyreek Hill","1","WR",2,4,3.01,0.63
4,"Ja'Marr Chase","1","WR",2,7,4.16,1.16
5,"Justin Jefferson","1","WR",2,9,5.3,1.81
6,"Bijan Robinson","1","RB",1,13,6.68,2.18
7,"Breece Hall","1","RB",1,12,6.69,2.09
8,"Amon-Ra St. Brown","1","WR",4,10,7.14,1.08
9,"A.J. Brown","1","WR",4,10,8.47,1.68
10,"Garrett Wilson","2","WR",5,23,11.51,4.25
11,"Jonathan Taylor","2","RB",6,15,12.23,1.51
12,"Puka Nacua","3","WR",9,35,15.14,6.33
13,"Saquon Barkley","3","RB",12,37,16.22,4.94
14,"Derrick Henry","3","RB",12,53,16.77,8.03
15,"Jahmyr Gibbs","3","RB",13,42,18.38,8.16
16,"Deebo Samuel Sr.","3","WR",10,32,18.65,4.93
17,"Kyren Williams","3","RB",11,42,18.88,7.3
18,"Marvin Harrison Jr.","4","WR",7,47,21.59,7.9
19,"Josh Allen","4","QB",17,34,21.61,5.48
20,"Mike Evans","4","WR",11,40,21.85,6
21,"Brandon Aiyuk","4","WR",11,41,23.65,6.34
22,"Nico Collins","4","WR",16,50,25.47,7.19
23,"Chris Olave","4","WR",11,38,25.95,5.02
24,"Travis Etienne Jr.","4","RB",13,45,26.18,9.35
25,"Jalen Hurts","5","QB",17,51,26.59,6.76
26,"Drake London","5","WR",19,64,28.19,8.03
27,"DK Metcalf","5","WR",19,40,29.15,6.14
28,"Isiah Pacheco","5","RB",13,45,29.38,9.76
29,"Davante Adams","5","WR",10,50,29.57,7.83
30,"Sam LaPorta","5","TE",25,57,30.04,9.95
31,"Patrick Mahomes II","5","QB",17,54,30.57,7.47
32,"Jaylen Waddle","5","WR",20,44,31.46,6.24
33,"Lamar Jackson","5","QB",17,51,31.54,6.53
34,"DJ Moore","5","WR",11,44,32.34,7.27
35,"De'Von Achane","6","RB",12,66,35.73,13.63
36,"Cooper Kupp","6","WR",11,63,36.84,10.25
37,"Travis Kelce","6","TE",25,78,36.84,15.89
38,"Amari Cooper","6","WR",30,59,39.16,5.08
39,"DeVonta Smith","7","WR",27,59,41.85,7.4
40,"Kenneth Walker III","7","RB",18,66,42.41,9.47
41,"Josh Jacobs","7","RB",18,79,43.64,10.67
42,"Joe Mixon","7","RB",15,66,44.59,7.98
43,"Malik Nabers","7","WR",20,81,44.61,11.71
44,"Tee Higgins","7","WR",30,73,45.32,7.83
45,"Mark Andrews","7","TE",25,78,46.24,12.22
46,"James Cook","8","RB",33,68,47.88,7.55
47,"George Pickens","8","WR",28,87,48.09,13.37
48,"Rachaad White","8","RB",33,67,48.36,6.33
49,"Anthony Richardson","8","QB",17,82,49.01,10.6
50,"Tank Dell","8","WR",32,91,50.45,12.91
51,"Michael Pittman Jr.","8","WR",28,80,50.62,10.76
52,"C.J. Stroud","8","QB",34,70,51.65,6.32
53,"David Montgomery","8","RB",33,69,53.07,8.45
54,"Stefon Diggs","8","WR",35,81,53.68,10.32
55,"Kyler Murray","9","QB",34,82,58,9.59
56,"Joe Burrow","9","QB",46,90,58.05,7.9
57,"Zay Flowers","9","WR",31,108,59.16,13.2
58,"James Conner","9","RB",37,77,60.28,8.85
59,"Dak Prescott","9","QB",29,85,60.93,11.29
60,"Trey McBride","9","TE",27,85,61.2,19.82
61,"Alvin Kamara","10","RB",48,95,63.24,9.72
62,"Christian Kirk","10","WR",35,87,63.78,10.74
63,"Terry McLaurin","10","WR",38,99,64.53,13.06
64,"Jordan Love","10","QB",46,83,65.19,8.69
65,"Rhamondre Stevenson","10","RB",48,92,65.62,9.1
